StrategyID:030
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-10-08,14:30:00,SELL,399417.XSHE,1000,4756.38,1,1
2021-10-08,14:30:00,BUY,399932.XSHE,1000,24124.02,1,1.0
2021-10-13,14:30:00,SELL,399932.XSHE,1000,24683.99,1.02321,1.02321
2021-10-13,14:30:00,BUY,399987.XSHE,1000,9800.46,1,1.02321
2021-10-14,14:30:00,SELL,399987.XSHE,1000,9752.46,0.9951,1.0182
2021-10-14,14:30:00,BUY,399932.XSHE,1000,24521.18,1,1.0182
2021-10-15,14:30:00,SELL,399932.XSHE,1000,24309.99,0.99139,1.00943
2021-10-19,14:30:00,BUY,399932.XSHE,1000,24092.19,1,1.00943
2021-10-20,14:30:00,SELL,399932.XSHE,1000,24043.25,0.99797,1.00738
2021-10-20,14:30:00,BUY,399417.XSHE,1000,5202.14,1,1.00738
2021-10-21,14:30:00,SELL,399417.XSHE,1000,5107.86,0.98188,0.98913
2021-10-25,14:30:00,BUY,399417.XSHE,1000,5233.81,1,0.98913
2021-10-28,14:30:00,SELL,399417.XSHE,1000,5225.29,0.99837,0.98752
