StrategyID:030
RunTime:14:30:00
VRDate:10
AVDate:7
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-07-01,14:30:00,BUY,512480.XSHG,1000,1.32,1,1
2021-07-02,14:30:00,SELL,512480.XSHG,1000,1.287,0.975,0.975
2021-07-05,14:30:00,BUY,512480.XSHG,1000,1.34,1,0.975
2021-07-06,14:30:00,SELL,512480.XSHG,1000,1.295,0.96642,0.94226
2021-07-06,14:30:00,BUY,399417.XSHE,1000,4396.95,1,0.94226
2021-07-16,14:30:00,SELL,399417.XSHE,1000,4806.62,1.09317,1.03005
2021-07-16,14:30:00,BUY,399967.XSHE,1000,11941.99,1,1.03005
2021-07-21,14:30:00,SELL,399967.XSHE,1000,12187.4,1.02055,1.05122
2021-07-21,14:30:00,BUY,399417.XSHE,1000,5010.67,1,1.05122
2021-07-22,14:30:00,SELL,399417.XSHE,1000,5016.23,1.00111,1.05239
2021-07-22,14:30:00,BUY,399967.XSHE,1000,12195.42,1,1.05239
2021-07-27,14:30:00,SELL,399967.XSHE,1000,12511.33,1.0259,1.07965
2021-07-27,14:30:00,BUY,512480.XSHG,1000,1.4709999999999999,1,1.07965
2021-07-28,14:30:00,SELL,512480.XSHG,1000,1.4140000000000001,0.96125,1.03781
2021-07-29,14:30:00,BUY,512480.XSHG,1000,1.5190000000000001,1,1.03781
2021-08-03,14:30:00,SELL,512480.XSHG,1000,1.39,0.91508,0.94968
2021-08-03,14:30:00,BUY,399967.XSHE,1000,12608.32,1,0.94968
2021-08-12,14:30:00,SELL,399967.XSHE,1000,13529.68,1.07308,1.01908
2021-08-13,14:30:00,BUY,512200.XSHG,1000,0.76,1,1.01908
2021-08-18,14:30:00,SELL,512200.XSHG,1000,0.772,1.01579,1.03517
2021-08-18,14:30:00,BUY,399975.XSHE,1000,857.32,1,1.03517
2021-08-25,14:30:00,SELL,399975.XSHE,1000,846.0,0.9868,1.02151
2021-08-27,14:30:00,BUY,399417.XSHE,1000,5186.74,1,1.02151
2021-08-31,14:30:00,SELL,399417.XSHE,1000,5160.06,0.99486,1.01626
2021-09-01,14:30:00,BUY,399975.XSHE,1000,871.07,1,1.01626
2021-09-03,14:30:00,SELL,399975.XSHE,1000,878.21,1.0082,1.02459
2021-09-03,14:30:00,BUY,512200.XSHG,1000,0.799,1,1.02459
2021-09-06,14:30:00,SELL,512200.XSHG,1000,0.795,0.99499,1.01946
2021-09-06,14:30:00,BUY,399975.XSHE,1000,901.64,1,1.01946
2021-09-14,14:30:00,SELL,399975.XSHE,1000,903.29,1.00183,1.02133
2021-09-14,14:30:00,BUY,399417.XSHE,1000,5223.38,1,1.02133
2021-09-15,14:30:00,SELL,399417.XSHE,1000,5221.89,0.99971,1.02103
2021-09-23,14:30:00,BUY,512200.XSHG,1000,0.809,1,1.02103
2021-09-24,14:30:00,SELL,512200.XSHG,1000,0.804,0.99382,1.01472
2021-09-24,14:30:00,BUY,399932.XSHE,1000,22275.16,1,1.01472
2021-09-27,14:30:00,SELL,399932.XSHE,1000,23275.77,1.04492,1.0603
2021-09-27,14:30:00,BUY,399987.XSHE,1000,9284.82,1,1.0603
2021-09-28,14:30:00,SELL,399987.XSHE,1000,9121.75,0.98244,1.04168
2021-09-28,14:30:00,BUY,399932.XSHE,1000,23090.28,1,1.04168
2021-10-13,14:30:00,SELL,399932.XSHE,1000,24683.99,1.06902,1.11358
2021-10-13,14:30:00,BUY,399987.XSHE,1000,9800.46,1,1.11358
2021-10-15,14:30:00,SELL,399987.XSHE,1000,9647.51,0.98439,1.0962
2021-10-18,14:30:00,BUY,399417.XSHE,1000,5068.64,1,1.0962
2021-10-22,14:30:00,SELL,399417.XSHE,1000,5096.4,1.00548,1.10221
2021-10-25,14:30:00,BUY,399417.XSHE,1000,5233.81,1,1.10221
2021-10-29,14:30:00,SELL,399417.XSHE,1000,5268.54,1.00664,1.10953
2021-10-29,14:30:00,BUY,399932.XSHE,1000,24435.98,1,1.10953
2021-10-29,15:00:00,SELL,399932.XSHE,100,24473.58,1.00154,1.11124
