StrategyID:010
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-01-05,14:30:00,BUY,399006.XSHE,1000,3091.71,1,1
2021-01-11,14:30:00,SELL,399006.XSHE,1000,3097.9,1.002,1.002
2021-01-12,14:30:00,BUY,399006.XSHE,1000,3156.26,1,1.002
2021-01-13,14:30:00,SELL,399006.XSHE,1000,3122.19,0.98921,0.99119
2021-01-13,14:30:00,BUY,000300.XSHG,1000,5568.22,1,0.99119
2021-01-14,14:30:00,SELL,000300.XSHG,1000,5468.19,0.98204,0.97339
2021-01-18,14:30:00,BUY,399006.XSHE,1000,3159.59,1,0.97339
2021-01-19,14:30:00,SELL,399006.XSHE,1000,3087.29,0.97712,0.95112
2021-01-21,14:30:00,BUY,399006.XSHE,1000,3295.05,1,0.95112
2021-01-26,14:30:00,SELL,399006.XSHE,1000,3267.17,0.99154,0.94307
2021-02-02,14:30:00,BUY,399006.XSHE,1000,3223.06,1,0.94307
2021-02-05,14:30:00,SELL,399006.XSHE,1000,3216.55,0.99798,0.94116
2021-02-05,14:30:00,BUY,000016.XSHG,1000,3852.68,1,0.94116
2021-02-10,14:30:00,SELL,000016.XSHG,1000,4026.12,1.04502,0.98353
2021-02-10,14:30:00,BUY,000300.XSHG,1000,5812.18,1,0.98353
2021-02-18,14:30:00,SELL,000300.XSHG,1000,5765.31,0.99194,0.9756
2021-02-18,14:30:00,BUY,000016.XSHG,1000,4013.19,1,0.9756
2021-02-22,14:30:00,SELL,000016.XSHG,1000,3887.43,0.96866,0.94502
2021-03-01,14:30:00,BUY,000905.XSHG,1000,6472.46,1,0.94502
2021-03-02,14:30:00,SELL,000905.XSHG,1000,6442.19,0.99532,0.9406
2021-03-03,14:30:00,BUY,000905.XSHG,1000,6511.17,1,0.9406
2021-03-04,14:30:00,SELL,000905.XSHG,1000,6403.06,0.9834,0.92499
2021-03-26,14:30:00,BUY,000905.XSHG,1000,6258.12,1,0.92499
2021-03-31,14:30:00,SELL,000905.XSHG,1000,6248.91,0.99853,0.92363
2021-03-31,14:30:00,BUY,399006.XSHE,1000,2757.81,1,0.92363
2021-04-07,14:30:00,SELL,399006.XSHE,1000,2804.19,1.01682,0.93917
2021-04-14,14:30:00,BUY,399006.XSHE,1000,2800.86,1,0.93917
2021-04-16,14:30:00,SELL,399006.XSHE,1000,2786.18,0.99476,0.93425
2021-04-16,14:30:00,BUY,000905.XSHG,1000,6335.02,1,0.93425
2021-04-19,14:30:00,SELL,000905.XSHG,1000,6429.42,1.0149,0.94817
2021-04-19,14:30:00,BUY,399006.XSHE,1000,2895.74,1,0.94817
2021-05-06,14:30:00,SELL,399006.XSHE,1000,3021.24,1.04334,0.98926
2021-05-12,14:30:00,BUY,399006.XSHE,1000,2959.69,1,0.98926
2021-05-21,14:30:00,SELL,399006.XSHE,1000,3113.79,1.05207,1.04077
2021-05-24,14:30:00,BUY,399006.XSHE,1000,3139.17,1,1.04077
2021-06-02,14:30:00,SELL,399006.XSHE,1000,3240.16,1.03217,1.07425
2021-06-10,14:30:00,BUY,000905.XSHG,1000,6767.13,1,1.07425
2021-06-11,14:30:00,SELL,000905.XSHG,1000,6730.78,0.99463,1.06848
2021-06-11,14:30:00,BUY,399006.XSHE,1000,3305.73,1,1.06848
2021-06-16,14:30:00,SELL,399006.XSHE,1000,3137.8,0.9492,1.0142
2021-06-21,14:30:00,BUY,399006.XSHE,1000,3276.18,1,1.0142
2021-06-24,14:30:00,SELL,399006.XSHE,1000,3281.45,1.00161,1.01583
2021-06-25,14:30:00,BUY,399006.XSHE,1000,3349.98,1,1.01583
2021-07-02,14:30:00,SELL,399006.XSHE,1000,3343.51,0.99807,1.01387
2021-07-07,14:30:00,BUY,399006.XSHE,1000,3412.72,1,1.01387
2021-07-16,14:30:00,SELL,399006.XSHE,1000,3457.32,1.01307,1.02712
2021-07-16,14:30:00,BUY,000905.XSHG,1000,6949.13,1,1.02712
2021-07-19,14:30:00,SELL,000905.XSHG,1000,6891.95,0.99177,1.01867
2021-07-21,14:30:00,BUY,399006.XSHE,1000,3556.4,1,1.01867
2021-07-23,14:30:00,SELL,399006.XSHE,1000,3469.16,0.97547,0.99368
2021-07-23,14:30:00,BUY,000905.XSHG,1000,6991.24,1,0.99368
2021-07-26,14:30:00,SELL,000905.XSHG,1000,6850.24,0.97983,0.97364
2021-08-03,14:30:00,BUY,399006.XSHE,1000,3474.51,1,0.97364
2021-08-06,14:30:00,SELL,399006.XSHE,1000,3490.07,1.00448,0.978
2021-08-11,14:30:00,BUY,000905.XSHG,1000,7071.71,1,0.978
2021-08-16,14:30:00,SELL,000905.XSHG,1000,7050.49,0.997,0.97507
2021-08-23,14:30:00,BUY,000905.XSHG,1000,7026.68,1,0.97507
2021-09-01,14:30:00,SELL,000905.XSHG,1000,7209.65,1.02604,1.00046
2021-09-02,14:30:00,BUY,000905.XSHG,1000,7295.73,1,1.00046
2021-09-14,14:30:00,SELL,000905.XSHG,1000,7579.97,1.03896,1.03944
2021-09-23,14:30:00,BUY,000905.XSHG,1000,7505.85,1,1.03944
2021-09-24,14:30:00,SELL,000905.XSHG,1000,7394.12,0.98511,1.02396
2021-09-29,14:30:00,BUY,000016.XSHG,1000,3209.54,1,1.02396
2021-09-30,14:30:00,SELL,000016.XSHG,1000,3198.1,0.99644,1.02031
2021-09-30,14:30:00,BUY,399006.XSHE,1000,3247.13,1,1.02031
2021-10-11,14:30:00,SELL,399006.XSHE,1000,3200.7,0.9857,1.00572
2021-10-11,14:30:00,BUY,000016.XSHG,1000,3290.58,1,1.00572
2021-10-12,14:30:00,SELL,000016.XSHG,1000,3240.63,0.98482,0.99045
2021-10-13,14:30:00,BUY,000016.XSHG,1000,3296.78,1,0.99045
2021-10-18,14:30:00,SELL,000016.XSHG,1000,3224.25,0.978,0.96866
2021-10-20,14:30:00,BUY,399006.XSHE,1000,3288.99,1,0.96866
2021-10-21,14:30:00,SELL,399006.XSHE,1000,3270.16,0.99427,0.96311
2021-10-22,14:30:00,BUY,000016.XSHG,1000,3319.01,1,0.96311
2021-10-26,14:30:00,SELL,000016.XSHG,1000,3293.4,0.99228,0.95567
2021-10-26,14:30:00,BUY,399006.XSHE,1000,3327.91,1,0.95567
2021-10-27,14:30:00,SELL,399006.XSHE,1000,3294.1829,0.98987,0.94599
