StrategyID:010
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-07-01,14:30:00,BUY,399006.XSHE,1000,3493.63,1,1
2021-07-02,14:30:00,SELL,399006.XSHE,1000,3343.51,0.95703,0.95703
2021-07-07,14:30:00,BUY,399006.XSHE,1000,3412.72,1,0.95703
2021-07-16,14:30:00,SELL,399006.XSHE,1000,3457.32,1.01307,0.96954
2021-07-16,14:30:00,BUY,000905.XSHG,1000,6949.13,1,0.96954
2021-07-19,14:30:00,SELL,000905.XSHG,1000,6891.95,0.99177,0.96156
2021-07-21,14:30:00,BUY,399006.XSHE,1000,3556.4,1,0.96156
2021-07-23,14:30:00,SELL,399006.XSHE,1000,3469.16,0.97547,0.93797
2021-07-23,14:30:00,BUY,000905.XSHG,1000,6991.24,1,0.93797
2021-07-26,14:30:00,SELL,000905.XSHG,1000,6850.24,0.97983,0.91905
2021-08-03,14:30:00,BUY,399006.XSHE,1000,3474.51,1,0.91905
2021-08-06,14:30:00,SELL,399006.XSHE,1000,3490.07,1.00448,0.92317
2021-08-11,14:30:00,BUY,000905.XSHG,1000,7071.71,1,0.92317
2021-08-16,14:30:00,SELL,000905.XSHG,1000,7050.49,0.997,0.9204
2021-08-23,14:30:00,BUY,000905.XSHG,1000,7026.68,1,0.9204
2021-08-31,15:00:00,SELL,000905.XSHG,100,7255.34,1.03254,0.95035
