StrategyID:010
RunTime:14:30:00
VRDate:11
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-01-04,14:30:00,BUY,399006.XSHE,1000,3083.54,1,1
2021-01-11,14:30:00,SELL,399006.XSHE,1000,3097.9,1.00466,1.00466
2021-01-12,14:30:00,BUY,399006.XSHE,1000,3156.26,1,1.00466
2021-01-13,14:30:00,SELL,399006.XSHE,1000,3122.19,0.98921,0.99382
2021-01-18,14:30:00,BUY,000016.XSHG,1000,3856.95,1,0.99382
2021-01-19,14:30:00,SELL,000016.XSHG,1000,3805.27,0.9866,0.9805
2021-01-20,14:30:00,BUY,399006.XSHE,1000,3200.05,1,0.9805
2021-01-26,14:30:00,SELL,399006.XSHE,1000,3267.17,1.02097,1.00106
2021-02-02,14:30:00,BUY,399006.XSHE,1000,3223.06,1,1.00106
2021-02-04,14:30:00,SELL,399006.XSHE,1000,3210.05,0.99596,0.99702
2021-02-05,14:30:00,BUY,000016.XSHG,1000,3852.68,1,0.99702
2021-02-08,14:30:00,SELL,000016.XSHG,1000,3889.11,1.00946,1.00645
2021-02-09,14:30:00,BUY,000016.XSHG,1000,3939.12,1,1.00645
2021-02-22,14:30:00,SELL,000016.XSHG,1000,3887.43,0.98688,0.99325
2021-02-22,14:30:00,BUY,000905.XSHG,1000,6673.49,1,0.99325
2021-02-23,14:30:00,SELL,000905.XSHG,1000,6635.35,0.99428,0.98757
2021-03-01,14:30:00,BUY,000905.XSHG,1000,6472.46,1,0.98757
2021-03-02,14:30:00,SELL,000905.XSHG,1000,6442.19,0.99532,0.98295
2021-03-22,14:30:00,BUY,000905.XSHG,1000,6302.9,1,0.98295
2021-03-23,14:30:00,SELL,000905.XSHG,1000,6207.7,0.9849,0.96811
2021-03-26,14:30:00,BUY,000905.XSHG,1000,6258.12,1,0.96811
2021-03-29,14:30:00,SELL,000905.XSHG,1000,6254.27,0.99938,0.96751
2021-03-29,14:30:00,BUY,399006.XSHE,1000,2735.35,1,0.96751
2021-04-07,14:30:00,SELL,399006.XSHE,1000,2804.19,1.02517,0.99186
2021-04-14,14:30:00,BUY,399006.XSHE,1000,2800.86,1,0.99186
2021-04-16,14:30:00,SELL,399006.XSHE,1000,2786.18,0.99476,0.98666
2021-04-16,14:30:00,BUY,000905.XSHG,1000,6335.02,1,0.98666
2021-04-20,14:30:00,SELL,000905.XSHG,1000,6436.65,1.01604,1.00249
2021-04-20,14:30:00,BUY,399006.XSHE,1000,2901.64,1,1.00249
