StrategyID:030
RunTime:14:30:00
VRDate:11
AVDate:7
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-10-08,14:30:00,BUY,399932.XSHE,1000,24124.02,1,1
2021-10-14,14:30:00,SELL,399932.XSHE,1000,24521.18,1.01646,1.01646
2021-10-14,14:30:00,BUY,399987.XSHE,1000,9752.46,1,1.01646
2021-10-18,14:30:00,SELL,399987.XSHE,1000,8986.37,0.92145,0.93662
2021-10-19,14:30:00,BUY,399417.XSHE,1000,5096.69,1,0.93662
2021-10-22,14:30:00,SELL,399417.XSHE,1000,5096.4,0.99994,0.93656
2021-10-25,14:30:00,BUY,399417.XSHE,1000,5233.81,1,0.93656
2021-10-29,15:00:00,SELL,399417.XSHE,100,5281.69,1.00915,0.94513
