StrategyID:030
RunTime:14:30:00
VRDate:7
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-07-01,14:30:00,SELL,399932.XSHE,1000,26460.24,1,1
2021-07-01,14:30:00,BUY,512480.XSHG,1000,1.32,1,1.0
2021-07-02,14:30:00,SELL,512480.XSHG,1000,1.287,0.975,0.975
2021-07-05,14:30:00,BUY,512480.XSHG,1000,1.34,1,0.975
2021-07-06,14:30:00,SELL,512480.XSHG,1000,1.295,0.96642,0.94226
2021-07-06,14:30:00,BUY,399417.XSHE,1000,4396.95,1,0.94226
2021-07-14,14:30:00,SELL,399417.XSHE,1000,4892.32,1.11266,1.04842
2021-07-16,14:30:00,BUY,399967.XSHE,1000,11941.99,1,1.04842
2021-07-19,14:30:00,SELL,399967.XSHE,1000,11791.01,0.98736,1.03517
2021-07-19,14:30:00,BUY,399987.XSHE,1000,10551.6,1,1.03517
2021-07-21,14:30:00,SELL,399987.XSHE,1000,10575.34,1.00225,1.0375
2021-07-21,14:30:00,BUY,512480.XSHG,1000,1.376,1,1.0375
2021-07-23,14:30:00,SELL,512480.XSHG,1000,1.4140000000000001,1.02762,1.06616
2021-07-23,14:30:00,BUY,399967.XSHE,1000,12529.49,1,1.06616
2021-07-26,14:30:00,SELL,399967.XSHE,1000,12656.31,1.01012,1.07695
2021-07-26,14:30:00,BUY,512480.XSHG,1000,1.422,1,1.07695
2021-07-28,14:30:00,SELL,512480.XSHG,1000,1.4140000000000001,0.99437,1.07089
2021-07-29,14:30:00,BUY,512480.XSHG,1000,1.5190000000000001,1,1.07089
2021-08-02,14:30:00,SELL,512480.XSHG,1000,1.486,0.97828,1.04763
2021-08-03,14:30:00,BUY,515070.XSHG,1000,1.308,1,1.04763
2021-08-04,14:30:00,SELL,515070.XSHG,1000,1.327,1.01453,1.06285
2021-08-04,14:30:00,BUY,399417.XSHE,1000,5172.75,1,1.06285
2021-08-05,14:30:00,SELL,399417.XSHE,1000,5150.5,0.9957,1.05828
2021-08-05,14:30:00,BUY,399967.XSHE,1000,13463.0,1,1.05828
2021-08-12,14:30:00,SELL,399967.XSHE,1000,13529.68,1.00495,1.06352
2021-08-12,14:30:00,BUY,512200.XSHG,1000,0.7609999999999999,1,1.06352
2021-08-18,14:30:00,SELL,512200.XSHG,1000,0.772,1.01445,1.07889
2021-08-18,14:30:00,BUY,399975.XSHE,1000,857.32,1,1.07889
2021-08-23,14:30:00,SELL,399975.XSHE,1000,842.79,0.98305,1.0606
2021-08-23,14:30:00,BUY,399967.XSHE,1000,14205.0,1,1.0606
2021-08-25,14:30:00,SELL,399967.XSHE,1000,13919.64,0.97991,1.03929
2021-08-26,14:30:00,BUY,399967.XSHE,1000,14058.4,1,1.03929
2021-08-27,14:30:00,SELL,399967.XSHE,1000,13678.47,0.97297,1.0112
2021-08-27,14:30:00,BUY,399417.XSHE,1000,5186.74,1,1.0112
2021-08-31,14:30:00,SELL,399417.XSHE,1000,5160.06,0.99486,1.006
2021-09-01,14:30:00,BUY,399971.XSHE,1000,1088.32,1,1.006
2021-09-02,14:30:00,SELL,399971.XSHE,1000,1093.18,1.00447,1.0105
2021-09-02,14:30:00,BUY,399975.XSHE,1000,883.14,1,1.0105
2021-09-08,14:30:00,SELL,399975.XSHE,1000,925.7,1.04819,1.0592
2021-09-08,14:30:00,BUY,399971.XSHE,1000,1177.82,1,1.0592
2021-09-10,14:30:00,SELL,399971.XSHE,1000,1144.67,0.97185,1.02938
2021-09-10,14:30:00,BUY,512480.XSHG,1000,1.325,1,1.02938
2021-09-13,14:30:00,SELL,512480.XSHG,1000,1.266,0.95547,0.98354
2021-09-13,14:30:00,BUY,399975.XSHE,1000,928.99,1,0.98354
2021-09-14,14:30:00,SELL,399975.XSHE,1000,903.29,0.97234,0.95634
2021-09-14,14:30:00,BUY,399417.XSHE,1000,5223.38,1,0.95634
2021-09-15,14:30:00,SELL,399417.XSHE,1000,5221.89,0.99971,0.95606
