StrategyID:010
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-01-05,14:30:00,BUY,399006.XSHE,1000,3091.71,1,1
2021-01-11,14:30:00,SELL,399006.XSHE,1000,3097.9,1.002,1.002
2021-01-12,14:30:00,BUY,399006.XSHE,1000,3156.26,1,1.002
2021-01-13,14:30:00,SELL,399006.XSHE,1000,3122.19,0.98921,0.99119
2021-01-13,14:30:00,BUY,000300.XSHG,1000,5568.22,1,0.99119
2021-01-14,14:30:00,SELL,000300.XSHG,1000,5468.19,0.98204,0.97339
2021-01-18,14:30:00,BUY,399006.XSHE,1000,3159.59,1,0.97339
2021-01-19,14:30:00,SELL,399006.XSHE,1000,3087.29,0.97712,0.95112
2021-01-21,14:30:00,BUY,399006.XSHE,1000,3295.05,1,0.95112
2021-01-26,14:30:00,SELL,399006.XSHE,1000,3267.17,0.99154,0.94307
2021-02-02,14:30:00,BUY,399006.XSHE,1000,3223.06,1,0.94307
2021-02-05,14:30:00,SELL,399006.XSHE,1000,3216.55,0.99798,0.94116
2021-02-05,14:30:00,BUY,000016.XSHG,1000,3852.68,1,0.94116
2021-02-10,14:30:00,SELL,000016.XSHG,1000,4026.12,1.04502,0.98353
2021-02-10,14:30:00,BUY,000300.XSHG,1000,5812.18,1,0.98353
2021-02-18,14:30:00,SELL,000300.XSHG,1000,5765.31,0.99194,0.9756
2021-02-18,14:30:00,BUY,000016.XSHG,1000,4013.19,1,0.9756
2021-02-22,14:30:00,SELL,000016.XSHG,1000,3887.43,0.96866,0.94502
2021-03-01,14:30:00,BUY,000905.XSHG,1000,6472.46,1,0.94502
2021-03-02,14:30:00,SELL,000905.XSHG,1000,6442.19,0.99532,0.9406
