StrategyID:030
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2020-07-01,14:30:00,BUY,399987.XSHE,1000,5970.82,1,1
2020-07-02,14:30:00,SELL,399987.XSHE,1000,6140.25,1.02838,1.02838
2020-07-02,14:30:00,BUY,399975.XSHE,1000,835.36,1,1.02838
2020-07-16,14:30:00,SELL,399975.XSHE,1000,965.08,1.15529,1.18808
2020-07-20,14:30:00,BUY,399967.XSHE,1000,10748.66,1,1.18808
2020-07-27,14:30:00,SELL,399967.XSHE,1000,10706.59,0.99609,1.18343
2020-07-29,14:30:00,BUY,399967.XSHE,1000,11109.18,1,1.18343
2020-07-31,14:30:00,SELL,399967.XSHE,1000,10877.88,0.97918,1.15879
