Date,PositionIndex,MarketValue
2021-07-01,512480.XSHG,0.9893939393939394
2021-07-02,EMPTY,0.9749999999999999
2021-07-05,512480.XSHG,0.9793656716417908
2021-07-06,399417.XSHE,0.9527944939105515
2021-07-07,399417.XSHE,1.0005207949862802
2021-07-08,399417.XSHE,1.0184918228171391
2021-07-09,399417.XSHE,1.0428939327515527
2021-07-12,399417.XSHE,1.089463024784989
2021-07-13,399417.XSHE,1.088342246397732
2021-07-14,399417.XSHE,1.042724637354625
2021-07-15,399417.XSHE,1.0567311527257786
2021-07-16,399967.XSHE,1.0262183554817175
2021-07-19,399967.XSHE,1.0189721252362374
2021-07-20,399967.XSHE,1.0370010152006492
2021-07-21,399417.XSHE,1.0529830782267326
2021-07-22,399967.XSHE,1.0515192668106141
2021-07-23,399967.XSHE,1.0730934552782425
2021-07-26,399967.XSHE,1.0825123692066518
2021-07-27,512480.XSHG,1.0715705034477314
2021-07-28,EMPTY,1.0378086930651318
2021-07-29,512480.XSHG,1.0357590379767871
2021-07-30,512480.XSHG,1.052839497046325
2021-08-02,512480.XSHG,1.0220946707211567
2021-08-03,399967.XSHE,0.9508824291850099
2021-08-04,399967.XSHE,0.9795956157305259
2021-08-05,399967.XSHE,1.0136264774947232
2021-08-06,399967.XSHE,1.0193049411595445
2021-08-09,399967.XSHE,1.0149769862294393
2021-08-10,399967.XSHE,1.0514128532306406
2021-08-11,399967.XSHE,1.0475579153029904
2021-08-12,EMPTY,1.0190714455054661
2021-08-13,512200.XSHG,1.0190714455054661
2021-08-16,512200.XSHG,1.0324802803147486
2021-08-17,512200.XSHG,1.0217532124673225
2021-08-18,399975.XSHE,1.037287140827679
2021-08-19,399975.XSHE,1.0187529442316636
2021-08-20,399975.XSHE,1.0156981222519947
2021-08-23,399975.XSHE,1.018113001287306
2021-08-24,399975.XSHE,1.0414528071635913
2021-08-25,EMPTY,1.0214938319367421
2021-08-26,EMPTY,1.0214938319367421
2021-08-27,399417.XSHE,1.0227798718621186
2021-08-30,399417.XSHE,1.0342222791614095
2021-08-31,EMPTY,1.0162393839721109
2021-09-01,399975.XSHE,1.0137077395999943
2021-09-02,399975.XSHE,1.0310092539034446
2021-09-03,512200.XSHG,1.0232869960844146
2021-09-06,399975.XSHE,1.018015432391029
2021-09-07,399975.XSHE,1.043172414299446
2021-09-08,399975.XSHE,1.0443709042240719
2021-09-09,399975.XSHE,1.0355066013853307
2021-09-10,399975.XSHE,1.0476271787362625
2021-09-13,399975.XSHE,1.0510869704054648
2021-09-14,399417.XSHE,1.0197805250800418
2021-09-15,EMPTY,1.0210142929665003
2021-09-16,EMPTY,1.0210142929665003
2021-09-17,EMPTY,1.0210142929665003
2021-09-22,EMPTY,1.0210142929665003
2021-09-23,512200.XSHG,1.024800501716685
2021-09-24,399932.XSHE,1.011866438664066
2021-09-27,399987.XSHE,1.0613925898564893
2021-09-28,399932.XSHE,1.0437255780136698
2021-09-29,399932.XSHE,1.0474834592657678
2021-09-30,399932.XSHE,1.0535384751319934
2021-10-08,399932.XSHE,1.0880090281299293
2021-10-11,399932.XSHE,1.087046324817567
2021-10-12,399932.XSHE,1.0854980596966546
2021-10-13,399987.XSHE,1.109922384664153
2021-10-14,399987.XSHE,1.105870581948561
2021-10-15,EMPTY,1.0961807968788562
2021-10-18,399417.XSHE,1.1004369362145705
2021-10-19,399417.XSHE,1.104187010202441
2021-10-20,399417.XSHE,1.1228400598825923
2021-10-21,399417.XSHE,1.111146490071511
2021-10-22,EMPTY,1.1021843755353316
2021-10-25,399417.XSHE,1.1044124103117494
2021-10-26,399417.XSHE,1.1066636099109843
2021-10-27,399417.XSHE,1.1247500717987589
2021-10-28,399417.XSHE,1.1004512256100083
2021-10-29,,
