StrategyID:030
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-07-01,14:30:00,BUY,512480.XSHG,1000,1.32,1,1
2021-07-02,14:30:00,SELL,512480.XSHG,1000,1.287,0.975,0.975
2021-07-05,14:30:00,BUY,399417.XSHE,1000,4403.76,1,0.975
2021-07-14,14:30:00,SELL,399417.XSHE,1000,4892.32,1.11094,1.08317
2021-07-20,14:30:00,BUY,399967.XSHE,1000,12023.39,1,1.08317
2021-07-21,14:30:00,SELL,399967.XSHE,1000,12187.4,1.01364,1.09794
2021-07-21,14:30:00,BUY,399417.XSHE,1000,5010.67,1,1.09794
2021-07-23,14:30:00,SELL,399417.XSHE,1000,5024.35,1.00273,1.10094
2021-07-23,14:30:00,BUY,399967.XSHE,1000,12529.49,1,1.10094
2021-07-28,14:30:00,SELL,399967.XSHE,1000,11719.74,0.93537,1.02979
2021-07-29,14:30:00,BUY,512480.XSHG,1000,1.5190000000000001,1,1.02979
2021-08-02,14:30:00,SELL,512480.XSHG,1000,1.486,0.97828,1.00742
2021-08-05,14:30:00,BUY,399967.XSHE,1000,13463.0,1,1.00742
2021-08-12,14:30:00,SELL,399967.XSHE,1000,13529.68,1.00495,1.01241
2021-08-12,14:30:00,BUY,399417.XSHE,1000,5137.93,1,1.01241
2021-08-13,14:30:00,SELL,399417.XSHE,1000,5107.13,0.99401,1.00635
2021-08-16,14:30:00,BUY,512200.XSHG,1000,0.77,1,1.00635
2021-08-18,14:30:00,SELL,512200.XSHG,1000,0.772,1.0026,1.00897
2021-08-18,14:30:00,BUY,399975.XSHE,1000,857.32,1,1.00897
2021-08-19,14:30:00,SELL,399975.XSHE,1000,846.12,0.98694,0.99579
2021-08-19,14:30:00,BUY,399967.XSHE,1000,13676.89,1,0.99579
2021-08-20,14:30:00,SELL,399967.XSHE,1000,13583.65,0.99318,0.989
2021-08-24,14:30:00,BUY,399975.XSHE,1000,859.24,1,0.989
2021-08-25,14:30:00,SELL,399975.XSHE,1000,846.0,0.98459,0.97376
2021-08-30,14:30:00,BUY,399967.XSHE,1000,14004.28,1,0.97376
2021-09-01,14:30:00,SELL,399967.XSHE,1000,13674.19,0.97643,0.95081
2021-09-01,14:30:00,BUY,399975.XSHE,1000,871.07,1,0.95081
2021-09-03,14:30:00,SELL,399975.XSHE,1000,878.21,1.0082,0.95861
2021-09-03,14:30:00,BUY,399971.XSHE,1000,1096.76,1,0.95861
2021-09-06,14:30:00,SELL,399971.XSHE,1000,1106.02,1.00844,0.9667
2021-09-06,14:30:00,BUY,399975.XSHE,1000,901.64,1,0.9667
2021-09-08,14:30:00,SELL,399975.XSHE,1000,925.7,1.02668,0.99249
2021-09-08,14:30:00,BUY,399971.XSHE,1000,1177.82,1,0.99249
2021-09-10,14:30:00,SELL,399971.XSHE,1000,1144.67,0.97185,0.96455
2021-09-10,14:30:00,BUY,399975.XSHE,1000,928.48,1,0.96455
2021-09-14,14:30:00,SELL,399975.XSHE,1000,903.29,0.97287,0.93838
2021-09-24,14:30:00,BUY,399971.XSHE,1000,1125.05,1,0.93838
2021-09-27,14:30:00,SELL,399971.XSHE,1000,1104.44,0.98168,0.92119
2021-09-27,14:30:00,BUY,399987.XSHE,1000,9284.82,1,0.92119
2021-09-29,14:30:00,SELL,399987.XSHE,1000,9108.67,0.98103,0.90372
2021-09-29,14:30:00,BUY,399932.XSHE,1000,23245.24,1,0.90372
2021-10-13,14:30:00,SELL,399932.XSHE,1000,24683.99,1.06189,0.95965
2021-10-13,14:30:00,BUY,399987.XSHE,1000,9800.46,1,0.95965
2021-10-14,14:30:00,SELL,399987.XSHE,1000,9752.46,0.9951,0.95495
2021-10-14,14:30:00,BUY,399932.XSHE,1000,24521.18,1,0.95495
2021-10-15,14:30:00,SELL,399932.XSHE,1000,24309.99,0.99139,0.94673
2021-10-19,14:30:00,BUY,399932.XSHE,1000,24092.19,1,0.94673
2021-10-20,14:30:00,SELL,399932.XSHE,1000,24043.25,0.99797,0.94481
2021-10-20,14:30:00,BUY,399417.XSHE,1000,5202.14,1,0.94481
2021-10-21,14:30:00,SELL,399417.XSHE,1000,5107.86,0.98188,0.92769
2021-10-25,14:30:00,BUY,399417.XSHE,1000,5233.81,1,0.92769
2021-10-28,14:30:00,SELL,399417.XSHE,1000,5225.29,0.99837,0.92618
