Date,PositionIndex,MarketValue
2021-01-04,399006.XSHE,0.9982390369510369
2021-01-05,399006.XSHE,1.0046829293604105
2021-01-06,399006.XSHE,1.0102317466288748
2021-01-07,399006.XSHE,1.0255745020333773
2021-01-08,399006.XSHE,1.0218061059691135
2021-01-11,EMPTY,1.0046569851534277
2021-01-12,399006.XSHE,1.0123249804302255
2021-01-13,EMPTY,0.9938122944485499
2021-01-14,EMPTY,0.9938122944485499
2021-01-15,EMPTY,0.9938122944485499
2021-01-18,000016.XSHG,0.991866901632183
2021-01-19,EMPTY,0.9804960162035374
2021-01-20,399006.XSHE,0.9819912492652312
2021-01-21,399006.XSHE,1.0061325224067998
2021-01-22,399006.XSHE,1.0289654666193864
2021-01-25,399006.XSHE,1.0280462659667058
2021-01-26,EMPTY,1.0010615988061784
2021-01-27,EMPTY,1.0010615988061784
2021-01-28,EMPTY,1.0010615988061784
2021-01-29,EMPTY,1.0010615988061784
2021-02-01,EMPTY,1.0010615988061784
2021-02-02,399006.XSHE,1.0028133463433841
2021-02-03,399006.XSHE,1.0012821202160038
2021-02-04,EMPTY,0.997020776916276
2021-02-05,000016.XSHG,0.9939386321616966
2021-02-08,EMPTY,1.006448361585405
2021-02-09,000016.XSHG,1.0099512777284358
2021-02-10,000016.XSHG,1.0292926892548722
2021-02-18,000016.XSHG,1.025662022705458
2021-02-19,000016.XSHG,1.0256977928192454
2021-02-22,000905.XSHG,0.9907961836426281
2021-02-23,EMPTY,0.9875649997345843
2021-02-24,EMPTY,0.9875649997345843
2021-02-25,EMPTY,0.9875649997345843
2021-02-26,EMPTY,0.9875649997345843
2021-03-01,000905.XSHG,0.9900032208585091
2021-03-02,EMPTY,0.9829464169172372
2021-03-03,EMPTY,0.9829464169172372
2021-03-04,EMPTY,0.9829464169172372
2021-03-05,EMPTY,0.9829464169172372
2021-03-08,EMPTY,0.9829464169172372
2021-03-09,EMPTY,0.9829464169172372
2021-03-10,EMPTY,0.9829464169172372
2021-03-11,EMPTY,0.9829464169172372
2021-03-12,EMPTY,0.9829464169172372
2021-03-15,EMPTY,0.9829464169172372
2021-03-16,EMPTY,0.9829464169172372
2021-03-17,EMPTY,0.9829464169172372
2021-03-18,EMPTY,0.9829464169172372
2021-03-19,EMPTY,0.9829464169172372
2021-03-22,000905.XSHG,0.9833815214727908
2021-03-23,EMPTY,0.9680998385341879
2021-03-24,EMPTY,0.9680998385341879
2021-03-25,EMPTY,0.9680998385341879
2021-03-26,000905.XSHG,0.9671206192194542
2021-03-29,399006.XSHE,0.9670126142322193
2021-03-30,399006.XSHE,0.9802269960328732
2021-03-31,399006.XSHE,0.9756925106291156
2021-04-01,399006.XSHE,0.9958218058184949
2021-04-02,399006.XSHE,1.008845187453936
2021-04-06,399006.XSHE,1.0015482737347847
2021-04-07,EMPTY,0.991853246830183
2021-04-08,EMPTY,0.991853246830183
2021-04-09,EMPTY,0.991853246830183
2021-04-12,EMPTY,0.991853246830183
2021-04-13,EMPTY,0.991853246830183
2021-04-14,399006.XSHE,0.9931103889316257
2021-04-15,399006.XSHE,0.98823409407617
2021-04-16,000905.XSHG,0.9873664583533329
2021-04-19,000905.XSHG,1.0007092272843094
2021-04-20,399006.XSHE,1.0005726241749109
2021-04-21,399006.XSHE,1.0077795137406693
2021-04-22,399006.XSHE,1.0155253653257272
2021-04-23,399006.XSHE,1.0345617802381573
2021-04-26,399006.XSHE,1.0258934744277606
2021-04-27,399006.XSHE,1.0316389477488805
2021-04-28,399006.XSHE,1.053940228739758
2021-04-29,399006.XSHE,1.0542304390578423
2021-04-30,399006.XSHE,1.0680430682447561
2021-05-06,EMPTY,1.0438035969152444
2021-05-07,EMPTY,1.0438035969152444
2021-05-10,EMPTY,1.0438035969152444
2021-05-11,EMPTY,1.0438035969152444
2021-05-12,000905.XSHG,1.045048915914253
2021-05-13,EMPTY,1.0316842037702525
2021-05-14,399006.XSHE,1.032756513182023
2021-05-17,399006.XSHE,1.0596255232998146
2021-05-18,000905.XSHG,1.0512883371493722
