StrategyID:020
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-01-04,14:30:00,BUY,000300.XSHG,1000,5274.7,1,1
2021-01-11,14:30:00,SELL,000300.XSHG,1000,5444.96,1.03228,1.03228
2021-01-12,14:30:00,BUY,000300.XSHG,1000,5557.94,1,1.03228
2021-01-14,14:30:00,SELL,000300.XSHG,1000,5468.19,0.98385,1.01561
2021-01-18,14:30:00,BUY,000300.XSHG,1000,5528.03,1,1.01561
2021-01-19,14:30:00,SELL,000300.XSHG,1000,5433.9,0.98297,0.99831
2021-01-20,14:30:00,BUY,000300.XSHG,1000,5477.09,1,0.99831
2021-01-22,14:30:00,SELL,000300.XSHG,1000,5566.43,1.01631,1.01459
2021-01-22,14:30:00,BUY,513100.XSHG,1000,4.43,1,1.01459
2021-01-28,14:30:00,SELL,513100.XSHG,1000,4.354,0.98284,0.99718
2021-02-02,14:30:00,BUY,513100.XSHG,1000,4.42,1,0.99718
2021-02-10,14:30:00,SELL,513100.XSHG,1000,4.547,1.02873,1.02583
2021-02-10,14:30:00,BUY,000300.XSHG,1000,5812.18,1,1.02583
2021-02-22,14:30:00,SELL,000300.XSHG,1000,5609.44,0.96512,0.99005
2021-03-16,14:30:00,BUY,513100.XSHG,1000,4.375,1,0.99005
2021-03-19,14:30:00,SELL,513100.XSHG,1000,4.263,0.9744,0.9647
2021-03-23,14:30:00,BUY,513100.XSHG,1000,4.346,1,0.9647
2021-03-25,14:30:00,SELL,513100.XSHG,1000,4.287,0.98642,0.9516
2021-03-30,14:30:00,BUY,513100.XSHG,1000,4.333,1,0.9516
2021-03-31,14:30:00,SELL,513100.XSHG,1000,4.324,0.99792,0.94962
2021-04-01,14:30:00,BUY,513100.XSHG,1000,4.423,1,0.94962
2021-04-15,14:30:00,SELL,513100.XSHG,1000,4.632,1.04725,0.99449
2021-04-16,14:30:00,BUY,513100.XSHG,1000,4.68,1,0.99449
2021-04-20,14:30:00,SELL,513100.XSHG,1000,4.636,0.9906,0.98514
2021-04-26,14:30:00,BUY,513100.XSHG,1000,4.619,1,0.98514
2021-04-28,14:30:00,SELL,513100.XSHG,1000,4.637,1.0039,0.98898
2021-04-28,14:30:00,BUY,000300.XSHG,1000,5105.96,1,0.98898
2021-05-06,14:30:00,SELL,000300.XSHG,1000,5068.45,0.99265,0.98171
2021-05-17,14:30:00,BUY,000300.XSHG,1000,5190.63,1,0.98171
2021-05-21,14:30:00,SELL,000300.XSHG,1000,5134.65,0.98922,0.97113
2021-05-25,14:30:00,BUY,000300.XSHG,1000,5314.57,1,0.97113
2021-05-28,14:30:00,SELL,000300.XSHG,1000,5297.94,0.99687,0.96809
2021-06-07,14:30:00,BUY,513100.XSHG,1000,4.499,1,0.96809
2021-06-08,14:30:00,SELL,513100.XSHG,1000,4.518,1.00422,0.97218
2021-06-09,14:30:00,BUY,513100.XSHG,1000,4.519,1,0.97218
2021-06-10,14:30:00,SELL,513100.XSHG,1000,4.515,0.99911,0.97131
2021-06-11,14:30:00,BUY,513100.XSHG,1000,4.561,1,0.97131
2021-06-17,14:30:00,SELL,513100.XSHG,1000,4.581,1.00439,0.97557
2021-06-18,14:30:00,BUY,513100.XSHG,1000,4.684,1,0.97557
2021-07-09,14:30:00,SELL,513100.XSHG,1000,4.894,1.04483,1.0193
2021-07-12,14:30:00,BUY,513100.XSHG,1000,4.936,1,1.0193
2021-07-16,14:30:00,SELL,513100.XSHG,1000,4.909,0.99453,1.01372
2021-07-21,14:30:00,BUY,000300.XSHG,1000,5147.76,1,1.01372
2021-07-23,14:30:00,SELL,000300.XSHG,1000,5085.94,0.98799,1.00155
2021-07-23,14:30:00,BUY,513100.XSHG,1000,4.975,1,1.00155
2021-07-28,14:30:00,SELL,513100.XSHG,1000,4.98,1.00101,1.00256
2021-08-02,14:30:00,BUY,513100.XSHG,1000,4.978,1,1.00256
2021-08-09,14:30:00,SELL,513100.XSHG,1000,5.007,1.00583,1.0084
2021-08-10,14:30:00,BUY,513100.XSHG,1000,5.025,1,1.0084
2021-08-11,14:30:00,SELL,513100.XSHG,1000,5.005,0.99602,1.00439
2021-08-11,14:30:00,BUY,000300.XSHG,1000,5023.83,1,1.00439
2021-08-12,14:30:00,SELL,000300.XSHG,1000,4977.7,0.99082,0.99517
2021-08-17,14:30:00,BUY,513100.XSHG,1000,5.0280000000000005,1,0.99517
2021-08-18,14:30:00,SELL,513100.XSHG,1000,5.01,0.99642,0.99161
2021-08-23,14:30:00,BUY,513100.XSHG,1000,5.041,1,0.99161
2021-08-27,14:30:00,SELL,513100.XSHG,1000,5.114,1.01448,1.00597
2021-08-30,14:30:00,BUY,513100.XSHG,1000,5.154,1,1.00597
2021-08-31,15:00:00,SELL,513100.XSHG,100,5.224,1.01358,1.01963
