Date,PositionIndex,MarketValue
2016-01-04,EMPTY,1
2016-01-05,EMPTY,1
2016-01-06,EMPTY,1
2016-01-07,EMPTY,1
2016-01-08,EMPTY,1
2016-01-11,EMPTY,1
2016-01-12,EMPTY,1
2016-01-13,EMPTY,1
2016-01-14,EMPTY,1
2016-01-15,EMPTY,1
2016-01-18,EMPTY,1
2016-01-19,EMPTY,1
2016-01-20,EMPTY,1
2016-01-21,EMPTY,1
2016-01-22,EMPTY,1
2016-01-25,EMPTY,1
2016-01-26,EMPTY,1
2016-01-27,EMPTY,1
2016-01-28,EMPTY,1
2016-01-29,EMPTY,1
2016-02-01,EMPTY,1
2016-02-02,EMPTY,1
2016-02-03,EMPTY,1
2016-02-04,EMPTY,1
2016-02-05,EMPTY,1
2016-02-15,EMPTY,1
2016-02-16,EMPTY,1
2016-02-17,EMPTY,1
2016-02-18,EMPTY,1
2016-02-19,EMPTY,1
2016-02-22,EMPTY,1
2016-02-23,EMPTY,1
2016-02-24,EMPTY,1
2016-02-25,EMPTY,1
2016-02-26,EMPTY,1
2016-02-29,EMPTY,1
2016-03-01,EMPTY,1
2016-03-02,EMPTY,1
2016-03-03,EMPTY,1
2016-03-04,000016.XSHG,1.0062920815552394
2016-03-07,000016.XSHG,0.9993693693693694
2016-03-08,EMPTY,0.9860834518729256
2016-03-09,EMPTY,0.9860834518729256
2016-03-10,EMPTY,0.9860834518729256
2016-03-11,EMPTY,0.9860834518729256
2016-03-14,000016.XSHG,0.984529736515623
2016-03-15,000016.XSHG,0.9952873205901174
2016-03-16,000016.XSHG,1.0118713372544965
2016-03-17,000016.XSHG,1.0096686615192962
2016-03-18,000016.XSHG,1.0142634904722945
2016-03-21,000016.XSHG,1.0389950388883822
2016-03-22,000016.XSHG,1.0294595845766443
2016-03-23,EMPTY,1.0265842637782214
2016-03-24,EMPTY,1.0265842637782214
2016-03-25,EMPTY,1.0265842637782214
2016-03-28,EMPTY,1.0265842637782214
2016-03-29,EMPTY,1.0265842637782214
2016-03-30,000016.XSHG,1.0267555856188555
2016-03-31,000016.XSHG,1.0262844505571123
2016-04-01,000016.XSHG,1.0316334991369032
2016-04-05,399006.XSHE,1.0380804556409289
2016-04-06,399006.XSHE,1.0460589640913172
2016-04-07,399006.XSHE,1.0240360948755194
2016-04-08,EMPTY,1.0043357366812389
2016-04-11,399006.XSHE,1.004934346802235
2016-04-12,EMPTY,0.9878431475387948
2016-04-13,399006.XSHE,0.9814088299887272
