Date,PositionIndex,MarketValue
2020-07-01,399987.XSHE,1.0031955409809707
2020-07-02,399975.XSHE,1.0297920532413976
2020-07-03,399975.XSHE,1.1091090990511827
2020-07-06,399975.XSHE,1.215755625180341
2020-07-07,399975.XSHE,1.1860871352840843
2020-07-08,399975.XSHE,1.2637668743900508
2020-07-09,399975.XSHE,1.2703776540889262
2020-07-10,399975.XSHE,1.2378407998168073
2020-07-13,399975.XSHE,1.2603814657919301
2020-07-14,399975.XSHE,1.2637914955434915
2020-07-15,399975.XSHE,1.2266381750012083
2020-07-16,EMPTY,1.1880691381360746
2020-07-17,EMPTY,1.1880691381360746
2020-07-20,399967.XSHE,1.2007239281866668
2020-07-21,399967.XSHE,1.1694522607824083
2020-07-22,399967.XSHE,1.1904234662702138
2020-07-23,399967.XSHE,1.2396974540128423
2020-07-24,399967.XSHE,1.1979661588464425
2020-07-27,EMPTY,1.183419063741556
2020-07-28,EMPTY,1.183419063741556
2020-07-29,399967.XSHE,1.1884460365350444
2020-07-30,399967.XSHE,1.1754101341496725
2020-07-31,EMPTY,1.158779546743594
