,ts_code,trade_date,close,open,high,low,vol,amount
0,300033.SZ,20191129,91.24,94.8,95.26,90.29,27370727.0,2513832564.26
1,300033.SZ,20191122,95.27,92.55,97.84,92.3,35966129.0,3451334966.45
2,300033.SZ,20191115,93.17,94.0,95.64,92.34,28656870.0,2700721221.84
3,300033.SZ,20191108,95.23,98.84,105.75,92.88,64609613.0,6406624986.69
4,300033.SZ,20191101,98.83,106.0,107.99,96.5,59560999.0,6068777435.38
5,300033.SZ,20191025,100.11,97.03,100.78,93.44,45787783.0,4454812098.67
6,300033.SZ,20191018,97.94,110.1,111.5,96.99,56854702.0,5880710362.31
7,300033.SZ,20191011,107.37,101.0,110.8,97.02,54890571.0,5655918816.74
8,300033.SZ,20190930,99.2,101.3,103.0,98.9,11050635.0,1115647143.85
9,300033.SZ,20190927,102.01,109.01,116.0,99.8,78124041.0,8406628722.23
10,300033.SZ,20190920,110.7,120.79,120.95,108.28,76135832.0,8613507455.65
11,300033.SZ,20190912,120.85,124.5,129.76,116.75,74082090.0,9089823004.29
12,300033.SZ,20190906,123.58,89.18,124.99,89.18,101136728.0,10798276951.12
13,300033.SZ,20190830,89.06,85.11,93.8,85.11,47205780.0,4251692828.95
14,300033.SZ,20190823,88.76,82.17,93.49,80.95,70950618.0,6237950480.16
15,300033.SZ,20190816,79.9,78.11,81.36,74.5,46158128.0,3622093533.46
16,300033.SZ,20190809,77.89,86.98,86.98,76.1,52164685.0,4175174597.93
17,300033.SZ,20190802,87.17,91.96,94.35,86.0,30232487.0,2735801975.66
18,300033.SZ,20190726,91.95,92.01,95.0,89.5,30863705.0,2854107426.76
19,300033.SZ,20190719,92.01,89.58,97.5,87.07,39945829.0,3708562253.9
20,300033.SZ,20190712,91.38,94.5,95.49,89.11,39609565.0,3620797942.54
21,300033.SZ,20190705,95.6,103.5,105.46,93.81,49680484.0,4919650670.63
22,300033.SZ,20190628,98.36,106.2,107.9,95.07,62903754.0,6309760644.69
23,300033.SZ,20190621,103.36,84.01,103.36,81.94,70727082.0,6538086694.79
24,300033.SZ,20190614,83.43,85.5,88.89,77.77,57264698.0,4868628790.21
25,300033.SZ,20190606,85.78,85.71,88.5,83.8,34843424.0,3001601500.49
26,300033.SZ,20190531,84.49,82.88,91.0,82.32,59128559.0,5156778371.58
27,300033.SZ,20190524,82.78,79.5,86.92,77.94,56917421.0,4746984054.26
28,300033.SZ,20190517,79.64,86.48,87.94,78.71,68758857.0,5839538080.66
29,300033.SZ,20190510,86.48,81.95,86.48,74.1,78841922.0,6373005194.86
30,300033.SZ,20190430,91.05,94.99,99.15,87.91,28170014.0,2643905993.14
31,300033.SZ,20190426,94.25,107.92,108.0,92.3,60182523.0,6079054190.78
32,300033.SZ,20190419,106.51,114.8,114.99,101.31,58401213.0,6244426975.97
33,300033.SZ,20190412,111.31,121.8,134.56,107.0,78720081.0,9351728666.68
34,300033.SZ,20190404,119.08,104.57,126.19,104.0,62561015.0,7312896356.15
35,300033.SZ,20190329,99.85,92.88,99.85,89.3,61998558.0,5909329863.17
36,300033.SZ,20190322,96.03,82.98,100.07,81.3,63661982.0,5797913608.38
37,300033.SZ,20190315,83.46,80.88,96.36,77.56,86657172.0,7494048887.06
38,300033.SZ,20190308,81.9,82.0,92.19,78.98,92872946.0,7781961913.84
39,300033.SZ,20190301,81.0,75.0,83.04,70.06,102303907.0,7971534742.4
40,300033.SZ,20190222,68.63,52.3,68.63,52.25,75700992.0,4612406858.96
41,300033.SZ,20190215,51.85,45.12,53.38,44.8,50127441.0,2486525519.42
42,300033.SZ,20190201,43.7,43.49,44.34,40.94,17948196.0,770935073.43
43,300033.SZ,20190125,42.9,42.89,43.55,41.4,12728801.0,543954005.43
44,300033.SZ,20190118,42.8,41.85,45.0,41.4,15911801.0,678780707.03
45,300033.SZ,20190111,41.6,41.75,43.5,40.57,17863706.0,750899894.68
46,300033.SZ,20190104,41.5,38.2,42.05,36.6,13370039.0,527712663.04
