,ts_code,trade_date,close,open,high,low,vol,amount
0,600298.SH,20191129,30.27,30.95,31.29,29.67,28151396.0,861414012.0
1,600298.SH,20191122,30.91,30.98,31.77,30.37,27564563.0,852983457.0
2,600298.SH,20191115,30.87,30.56,31.37,30.28,24216856.0,746035389.0
3,600298.SH,20191108,30.7,30.65,31.08,30.13,26675489.0,814521371.0
4,600298.SH,20191101,30.52,29.91,31.05,29.19,41302043.0,1241889456.0
5,600298.SH,20191025,29.74,27.3,30.3,27.07,49525687.0,1440022211.0
6,600298.SH,20191018,27.37,27.78,28.38,27.25,20958578.0,583245464.0
7,600298.SH,20191011,27.53,27.19,27.66,27.06,14711986.0,403130424.0
8,600298.SH,20190930,27.05,27.35,27.5,27.05,2623547.0,71409958.0
9,600298.SH,20190927,27.43,28.1,28.75,27.03,23219356.0,645842771.0
10,600298.SH,20190920,28.3,28.51,28.99,28.01,17044738.0,484708435.0
11,600298.SH,20190912,28.66,28.7,29.36,28.12,30807444.0,884678748.0
12,600298.SH,20190906,28.45,28.4,29.44,27.71,38735182.0,1106255915.0
13,600298.SH,20190830,28.53,27.35,28.84,27.35,34296276.0,972844561.0
14,600298.SH,20190823,28.0,27.33,28.1,27.03,43956952.0,1208890421.0
15,600298.SH,20190816,27.25,27.1,28.24,25.44,60288732.0,1636281641.0
16,600298.SH,20190809,26.9,29.94,30.36,26.86,52461401.0,1495064935.0
17,600298.SH,20190802,29.88,29.85,31.16,29.7,30233802.0,919250520.0
18,600298.SH,20190726,30.0,28.8,30.15,28.15,35940280.0,1053170187.0
19,600298.SH,20190719,28.51,30.0,30.2,28.11,71355991.0,2055104055.0
20,600298.SH,20190712,30.9,31.28,31.71,30.1,36715260.0,1132770749.0
21,600298.SH,20190705,31.27,31.83,33.15,30.55,58465070.0,1863718482.0
22,600298.SH,20190628,31.63,30.79,32.25,30.55,41680830.0,1316574832.0
23,600298.SH,20190621,30.77,30.62,31.59,30.31,40171695.0,1241986707.0
24,600298.SH,20190614,30.62,29.09,30.94,28.55,50558593.0,1521593698.0
25,600298.SH,20190606,28.9,29.32,29.85,28.0,34904359.0,1011104795.0
26,600298.SH,20190531,29.28,27.7,29.48,27.57,45766240.0,1314361192.0
27,600298.SH,20190524,27.74,27.02,28.35,26.49,40056410.0,1111048494.0
28,600298.SH,20190517,27.1,26.57,28.0,26.27,42951339.0,1168377653.0
29,600298.SH,20190510,26.62,27.2,27.7,25.68,48358141.0,1289901213.0
30,600298.SH,20190430,27.9,27.11,28.06,26.74,20434329.0,565818006.0
31,600298.SH,20190426,27.11,28.85,29.16,26.59,59643120.0,1653441969.0
32,600298.SH,20190419,28.72,28.47,28.81,27.1,67439521.0,1884561186.0
33,600298.SH,20190412,28.26,28.31,29.15,27.7,79509494.0,2259012862.0
34,600298.SH,20190404,28.29,27.34,28.61,27.34,75063606.0,2096463487.0
35,600298.SH,20190329,27.06,28.9,29.8,26.2,135539700.0,3714700231.0
36,600298.SH,20190322,30.3,27.4,31.88,27.09,101902792.0,2975571215.0
37,600298.SH,20190315,27.39,27.2,27.78,26.6,61697387.0,1676426991.0
38,600298.SH,20190308,27.25,28.74,29.13,27.2,57751684.0,1621913390.0
39,600298.SH,20190301,28.4,26.0,28.4,25.95,47728534.0,1307071767.0
40,600298.SH,20190222,26.54,26.47,27.03,25.88,31284043.0,828429736.0
41,600298.SH,20190215,26.3,25.34,27.13,25.07,31527300.0,827684435.0
42,600298.SH,20190201,25.34,24.95,25.4,24.2,24153326.0,597477701.0
43,600298.SH,20190125,24.75,24.27,25.38,24.2,25134256.0,624171585.0
44,600298.SH,20190118,24.24,24.3,24.46,22.88,31309813.0,742491837.0
45,600298.SH,20190111,24.25,24.99,25.21,23.82,31862586.0,779098013.0
46,600298.SH,20190104,24.95,25.19,25.19,24.03,10453975.0,258374226.0
