,ts_code,trade_date,close,open,high,low,vol,amount
0,600487.SH,20191129,15.48,15.43,15.93,15.2,80293741.0,1251174704.0
1,600487.SH,20191122,15.5,15.4,16.09,15.4,119569348.0,1890629499.0
2,600487.SH,20191115,15.39,15.58,15.83,14.85,111999737.0,1718158297.0
3,600487.SH,20191108,15.6,14.89,16.4,14.85,254773333.0,4051886254.0
4,600487.SH,20191101,14.75,14.82,15.26,14.55,76131140.0,1132451029.0
5,600487.SH,20191025,14.76,15.14,15.14,14.33,54404904.0,804800000.0
6,600487.SH,20191018,15.15,15.72,15.97,15.15,68335816.0,1066723535.0
7,600487.SH,20191011,15.53,15.63,15.79,15.05,52066919.0,808691732.0
8,600487.SH,20190930,15.56,15.73,15.89,15.47,14239757.0,222935436.0
9,600487.SH,20190927,15.69,16.61,16.75,15.56,129798488.0,2101078366.0
10,600487.SH,20190920,16.82,16.4,16.9,15.73,181702860.0,2978198342.0
11,600487.SH,20190912,16.35,16.59,16.95,16.18,173846692.0,2872071736.0
12,600487.SH,20190906,16.29,14.1,16.88,14.01,250526484.0,3875035895.0
13,600487.SH,20190830,14.32,14.5,14.9,14.29,95216419.0,1391991359.0
14,600487.SH,20190823,14.88,14.93,15.72,14.79,116050753.0,1762256967.0
15,600487.SH,20190816,14.73,14.08,14.98,13.99,97089595.0,1409048502.0
16,600487.SH,20190809,14.05,15.6,15.77,13.99,98619453.0,1450900144.0
17,600487.SH,20190802,15.66,16.11,16.38,15.41,91012376.0,1455039393.0
18,600487.SH,20190726,16.14,15.85,16.26,15.24,91483513.0,1448738578.0
19,600487.SH,20190719,15.84,16.15,16.32,15.76,78767613.0,1262506502.0
20,600487.SH,20190712,16.19,17.01,17.01,15.96,82393357.0,1349652731.0
21,600487.SH,20190705,17.11,17.29,17.76,16.98,176254437.0,3054023543.0
22,600487.SH,20190628,16.76,16.72,16.98,16.35,126648496.0,2115073200.0
23,600487.SH,20190621,16.94,17.27,17.28,16.13,258027681.0,4341823408.0
24,600487.SH,20190531,15.85,15.54,16.08,15.32,161462931.0,2546856781.0
25,600487.SH,20190524,15.5,16.15,16.64,14.6,206674202.0,3278367554.0
26,600487.SH,20190517,16.18,16.23,16.88,14.91,359524139.0,5757251924.0
27,600487.SH,20190510,18.03,19.0,19.33,16.87,212248754.0,3818095616.0
28,600487.SH,20190430,20.08,21.31,21.45,19.7,91949010.0,1866518973.0
29,600487.SH,20190426,21.31,23.45,23.87,21.17,308523683.0,6958679551.0
30,600487.SH,20190419,22.9,21.55,23.15,20.77,388853134.0,8635807319.0
31,600487.SH,20190412,21.2,21.86,23.3,21.0,385631778.0,8449173964.0
32,600487.SH,20190404,21.78,21.32,22.12,21.32,218843619.0,4755219807.0
33,600487.SH,20190329,21.22,21.22,21.85,20.09,218677378.0,4592494923.0
34,600487.SH,20190322,21.73,21.61,22.69,21.16,224773806.0,4930634081.0
35,600487.SH,20190315,21.71,22.42,23.57,21.51,395775921.0,8916885856.0
36,600487.SH,20190308,21.96,22.43,23.22,21.2,389926039.0,8686749358.0
37,600487.SH,20190301,21.8,22.22,22.76,21.45,350982986.0,7712726402.0
38,600487.SH,20190222,21.5,19.66,21.64,19.51,369262038.0,7549306896.0
39,600487.SH,20190215,19.36,17.75,19.98,17.72,299225459.0,5737580303.0
40,600487.SH,20190201,17.72,18.37,18.54,16.96,142228272.0,2509689353.0
41,600487.SH,20190125,18.17,18.39,19.05,17.96,150310391.0,2775711568.0
42,600487.SH,20190118,18.45,18.57,19.06,18.01,185066494.0,3430132564.0
43,600487.SH,20190111,18.7,17.0,19.3,17.0,291739513.0,5297402841.0
44,600487.SH,20190104,16.86,17.2,17.33,16.1,76049778.0,1280688939.0
