,ts_code,trade_date,close,open,high,low,vol,amount
0,002032.SZ,20191129,71.8,74.41,75.33,70.8,11908823.0,861398567.88
1,002032.SZ,20191122,74.43,76.72,78.55,73.5,7350831.0,558558851.03
2,002032.SZ,20191115,76.86,79.5,79.5,76.32,5595916.0,434912608.84
3,002032.SZ,20191108,79.75,79.23,81.6,78.51,7917516.0,632926477.6
4,002032.SZ,20191101,79.21,76.11,79.59,73.37,8544172.0,652845574.43
5,002032.SZ,20191025,75.96,77.0,78.9,75.09,5415953.0,417123255.06
6,002032.SZ,20191018,77.0,74.08,79.3,73.58,7091907.0,544597401.04
7,002032.SZ,20191011,73.31,71.08,74.6,71.08,5004288.0,363805314.74
8,002032.SZ,20190930,71.73,72.48,72.93,71.39,1138938.0,82234955.13
9,002032.SZ,20190927,72.95,72.54,75.36,70.11,7822628.0,569410945.76
10,002032.SZ,20190920,72.4,70.99,73.55,70.06,6347121.0,457884499.7
11,002032.SZ,20190912,70.86,70.57,72.07,69.7,5054016.0,357933934.21
12,002032.SZ,20190906,70.4,72.33,73.55,69.4,9381819.0,667314384.56
13,002032.SZ,20190830,72.28,68.45,73.95,66.52,11182835.0,780702351.0
14,002032.SZ,20190823,69.5,70.0,70.68,66.84,8938382.0,613614910.57
15,002032.SZ,20190816,69.4,68.34,70.28,67.6,6783980.0,469801787.1
16,002032.SZ,20190809,68.98,67.33,69.65,63.37,7925705.0,530629062.59
17,002032.SZ,20190802,67.53,70.96,71.25,66.61,8199662.0,564703363.94
18,002032.SZ,20190726,70.82,68.74,71.3,67.61,8349825.0,579318505.47
19,002032.SZ,20190719,68.01,73.84,74.0,67.9,10382087.0,723947860.2
20,002032.SZ,20190712,73.69,74.71,75.6,72.15,5194556.0,381286473.37
21,002032.SZ,20190705,76.05,76.75,78.16,74.18,7984567.0,609352590.08
22,002032.SZ,20190628,75.83,76.35,77.95,74.61,7238940.0,550803534.51
23,002032.SZ,20190621,77.19,72.48,77.7,71.4,8983941.0,672898222.31
24,002032.SZ,20190614,72.48,68.51,73.0,68.51,7625470.0,543207042.45
25,002032.SZ,20190606,68.8,70.89,72.72,68.32,7384603.0,518149948.39
26,002032.SZ,20190531,71.15,70.03,71.45,67.26,7099703.0,495242528.31
27,002032.SZ,20190524,70.03,67.05,73.15,66.65,11203577.0,782372259.54
28,002032.SZ,20190517,67.51,67.0,68.8,63.67,11831318.0,786929090.13
29,002032.SZ,20190510,67.79,66.03,69.01,62.0,14804095.0,977555426.59
30,002032.SZ,20190430,67.77,69.9,71.66,67.1,4654829.0,320177558.54
31,002032.SZ,20190426,69.12,77.95,77.95,64.6,12370124.0,874675594.62
32,002032.SZ,20190419,77.42,73.65,82.59,71.1,7661178.0,568884696.66
33,002032.SZ,20190412,72.53,72.52,77.08,71.42,12881232.0,947399293.32
34,002032.SZ,20190404,72.53,74.83,77.13,71.47,13057915.0,961011688.46
35,002032.SZ,20190329,75.03,64.15,75.66,62.65,11458547.0,784524256.33
36,002032.SZ,20190322,64.81,63.2,67.39,63.2,7143444.0,466510498.02
37,002032.SZ,20190315,63.84,62.75,64.59,61.0,12461629.0,779927361.14
38,002032.SZ,20190308,62.66,64.5,67.93,61.5,12391369.0,797871073.7
39,002032.SZ,20190301,64.56,54.03,64.56,54.02,14832430.0,890502130.13
40,002032.SZ,20190222,53.5,54.62,55.28,52.12,9216837.0,495788886.37
41,002032.SZ,20190215,54.63,52.76,56.67,52.76,7069484.0,388829399.38
42,002032.SZ,20190201,52.75,52.64,54.5,51.71,6694767.0,353732888.34
43,002032.SZ,20190125,52.51,50.36,52.69,49.13,11613068.0,587794896.41
44,002032.SZ,20190118,50.56,50.07,51.66,49.12,8063763.0,407241075.72
45,002032.SZ,20190111,50.07,50.99,52.3,49.6,10088370.0,513782409.39
46,002032.SZ,20190104,50.07,53.0,53.13,47.41,7870660.0,391607378.0
