,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
24,14:30:00,10,22,6.35%,-9.15%,36,38.89%
36,14:30:00,16,4,6.01%,-12.65%,42,38.10%
27,14:30:00,13,4,4.83%,-16.66%,44,36.36%
18,14:30:00,10,4,4.68%,-15.44%,51,37.25%
33,14:30:00,13,22,3.59%,-12.44%,27,40.74%
31,14:30:00,13,16,3.55%,-9.52%,28,42.86%
23,14:30:00,10,19,3.09%,-10.63%,40,37.50%
6,14:30:00,4,22,2.91%,-10.47%,49,42.86%
30,14:30:00,13,13,2.63%,-9.36%,31,41.94%
25,14:30:00,10,25,2.58%,-9.15%,36,38.89%
22,14:30:00,10,16,2.13%,-11.07%,40,37.50%
26,14:30:00,10,28,1.52%,-9.01%,37,37.84%
21,14:30:00,10,13,-0.36%,-13.94%,40,37.50%
32,14:30:00,13,19,-0.36%,-13.17%,28,39.29%
3,14:30:00,4,13,-0.76%,-14.65%,55,43.64%
72,14:30:00,28,4,-0.84%,-11.64%,40,42.50%
15,14:30:00,7,22,-2.49%,-14.36%,47,46.81%
42,14:30:00,16,22,-2.75%,-14.02%,32,34.38%
34,14:30:00,13,25,-3.08%,-12.44%,27,37.04%
35,14:30:00,13,28,-3.08%,-12.44%,27,37.04%
41,14:30:00,16,19,-3.15%,-11.96%,33,36.36%
40,14:30:00,16,16,-3.25%,-11.80%,33,33.33%
39,14:30:00,16,13,-4.06%,-12.21%,35,34.29%
63,14:30:00,25,4,-4.40%,-12.88%,48,29.17%
19,14:30:00,10,7,-4.68%,-13.62%,48,37.50%
28,14:30:00,13,7,-4.93%,-14.84%,38,39.47%
12,14:30:00,7,13,-4.95%,-17.50%,49,44.90%
14,14:30:00,7,19,-4.97%,-16.77%,49,44.90%
7,14:30:00,4,25,-5.29%,-13.16%,50,42.00%
5,14:30:00,4,19,-5.50%,-14.83%,52,38.46%
10,14:30:00,7,7,-6.22%,-15.78%,53,41.51%
59,14:30:00,22,19,-6.24%,-13.83%,29,37.93%
13,14:30:00,7,16,-6.27%,-16.94%,50,44.00%
73,14:30:00,28,7,-6.37%,-12.35%,33,33.33%
4,14:30:00,4,16,-6.40%,-16.16%,53,41.51%
78,14:30:00,28,22,-6.46%,-14.67%,26,46.15%
37,14:30:00,16,7,-6.86%,-14.87%,40,32.50%
8,14:30:00,4,28,-7.31%,-13.49%,51,41.18%
1,14:30:00,4,7,-7.57%,-17.51%,70,41.43%
45,14:30:00,19,4,-7.64%,-16.76%,44,31.82%
50,14:30:00,19,19,-7.78%,-16.31%,32,43.75%
60,14:30:00,22,22,-7.80%,-15.21%,30,43.33%
51,14:30:00,19,22,-7.83%,-17.89%,31,48.39%
29,14:30:00,13,10,-8.39%,-17.16%,36,38.89%
54,14:30:00,22,4,-8.42%,-14.72%,41,31.71%
43,14:30:00,16,25,-8.48%,-14.39%,33,33.33%
44,14:30:00,16,28,-8.50%,-14.40%,33,33.33%
69,14:30:00,25,22,-8.59%,-14.80%,35,40.00%
79,14:30:00,28,25,-8.66%,-14.67%,26,46.15%
58,14:30:00,22,16,-8.75%,-15.41%,29,34.48%
64,14:30:00,25,7,-8.94%,-14.96%,43,32.56%
76,14:30:00,28,16,-9.03%,-14.46%,28,42.86%
67,14:30:00,25,16,-9.06%,-15.24%,35,37.14%
80,14:30:00,28,28,-9.27%,-14.23%,27,44.44%
16,14:30:00,7,25,-10.07%,-15.16%,48,45.83%
71,14:30:00,25,28,-10.28%,-14.18%,34,41.18%
61,14:30:00,22,25,-10.55%,-15.40%,31,41.94%
62,14:30:00,22,28,-10.55%,-15.40%,31,41.94%
57,14:30:00,22,13,-10.63%,-16.24%,30,33.33%
0,14:30:00,4,4,-10.74%,-16.15%,79,35.44%
70,14:30:00,25,25,-10.74%,-14.62%,34,41.18%
17,14:30:00,7,28,-10.99%,-16.03%,49,44.90%
65,14:30:00,25,10,-11.38%,-15.78%,42,33.33%
49,14:30:00,19,16,-11.50%,-19.47%,32,40.62%
20,14:30:00,10,10,-11.53%,-18.75%,44,38.64%
2,14:30:00,4,10,-11.75%,-19.89%,62,38.71%
77,14:30:00,28,19,-11.83%,-17.32%,28,42.86%
66,14:30:00,25,13,-11.90%,-16.98%,36,36.11%
9,14:30:00,7,4,-12.14%,-17.52%,55,36.36%
74,14:30:00,28,10,-12.43%,-17.05%,30,36.67%
68,14:30:00,25,19,-12.72%,-18.87%,35,37.14%
75,14:30:00,28,13,-12.83%,-18.30%,27,40.74%
52,14:30:00,19,25,-12.88%,-17.89%,31,45.16%
46,14:30:00,19,7,-13.07%,-20.27%,37,27.03%
38,14:30:00,16,10,-13.55%,-19.58%,39,33.33%
53,14:30:00,19,28,-15.20%,-20.08%,32,43.75%
48,14:30:00,19,13,-15.26%,-22.04%,36,36.11%
55,14:30:00,22,7,-15.91%,-21.90%,35,28.57%
11,14:30:00,7,10,-16.91%,-23.63%,53,41.51%
47,14:30:00,19,10,-18.18%,-23.64%,39,28.21%
56,14:30:00,22,10,-20.24%,-24.61%,35,25.71%
