,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
429,11:30:00,19,5,14.95%,-4.31%,3,66.67%
442,11:30:00,21,5,14.95%,-4.31%,3,66.67%
455,11:30:00,23,5,14.95%,-4.31%,3,66.67%
468,11:30:00,25,5,14.95%,-4.31%,3,66.67%
481,11:30:00,27,5,14.95%,-4.31%,3,66.67%
494,11:30:00,29,5,14.95%,-4.31%,3,66.67%
416,11:30:00,17,5,14.33%,-4.31%,6,66.67%
777,14:30:00,19,25,14.25%,-8.86%,3,66.67%
778,14:30:00,19,27,14.25%,-8.86%,3,66.67%
779,14:30:00,19,29,14.25%,-8.86%,3,66.67%
803,14:30:00,23,25,13.74%,-9.05%,1,100.00%
804,14:30:00,23,27,13.74%,-9.05%,1,100.00%
805,14:30:00,23,29,13.74%,-9.05%,1,100.00%
816,14:30:00,25,25,13.74%,-9.05%,1,100.00%
817,14:30:00,25,27,13.74%,-9.05%,1,100.00%
818,14:30:00,25,29,13.74%,-9.05%,1,100.00%
829,14:30:00,27,25,13.74%,-9.05%,1,100.00%
830,14:30:00,27,27,13.74%,-9.05%,1,100.00%
831,14:30:00,27,29,13.74%,-9.05%,1,100.00%
842,14:30:00,29,25,13.74%,-9.05%,1,100.00%
843,14:30:00,29,27,13.74%,-9.05%,1,100.00%
844,14:30:00,29,29,13.74%,-9.05%,1,100.00%
608,13:30:00,19,25,13.64%,-9.05%,1,100.00%
609,13:30:00,19,27,13.64%,-9.05%,1,100.00%
610,13:30:00,19,29,13.64%,-9.05%,1,100.00%
634,13:30:00,23,25,13.64%,-9.05%,1,100.00%
635,13:30:00,23,27,13.64%,-9.05%,1,100.00%
636,13:30:00,23,29,13.64%,-9.05%,1,100.00%
647,13:30:00,25,25,13.64%,-9.05%,1,100.00%
648,13:30:00,25,27,13.64%,-9.05%,1,100.00%
649,13:30:00,25,29,13.64%,-9.05%,1,100.00%
660,13:30:00,27,25,13.64%,-9.05%,1,100.00%
661,13:30:00,27,27,13.64%,-9.05%,1,100.00%
662,13:30:00,27,29,13.64%,-9.05%,1,100.00%
673,13:30:00,29,25,13.64%,-9.05%,1,100.00%
674,13:30:00,29,27,13.64%,-9.05%,1,100.00%
675,13:30:00,29,29,13.64%,-9.05%,1,100.00%
439,11:30:00,19,25,12.93%,-9.05%,1,100.00%
440,11:30:00,19,27,12.93%,-9.05%,1,100.00%
441,11:30:00,19,29,12.93%,-9.05%,1,100.00%
465,11:30:00,23,25,12.93%,-9.05%,1,100.00%
466,11:30:00,23,27,12.93%,-9.05%,1,100.00%
467,11:30:00,23,29,12.93%,-9.05%,1,100.00%
478,11:30:00,25,25,12.93%,-9.05%,1,100.00%
479,11:30:00,25,27,12.93%,-9.05%,1,100.00%
480,11:30:00,25,29,12.93%,-9.05%,1,100.00%
491,11:30:00,27,25,12.93%,-9.05%,1,100.00%
492,11:30:00,27,27,12.93%,-9.05%,1,100.00%
493,11:30:00,27,29,12.93%,-9.05%,1,100.00%
504,11:30:00,29,25,12.93%,-9.05%,1,100.00%
505,11:30:00,29,27,12.93%,-9.05%,1,100.00%
506,11:30:00,29,29,12.93%,-9.05%,1,100.00%
607,13:30:00,19,23,12.71%,-9.05%,2,100.00%
633,13:30:00,23,23,12.71%,-9.05%,2,100.00%
646,13:30:00,25,23,12.71%,-9.05%,2,100.00%
659,13:30:00,27,23,12.71%,-9.05%,2,100.00%
672,13:30:00,29,23,12.71%,-9.05%,2,100.00%
270,10:30:00,19,25,12.62%,-9.05%,1,100.00%
271,10:30:00,19,27,12.62%,-9.05%,1,100.00%
272,10:30:00,19,29,12.62%,-9.05%,1,100.00%
296,10:30:00,23,25,12.62%,-9.05%,1,100.00%
297,10:30:00,23,27,12.62%,-9.05%,1,100.00%
298,10:30:00,23,29,12.62%,-9.05%,1,100.00%
309,10:30:00,25,25,12.62%,-9.05%,1,100.00%
310,10:30:00,25,27,12.62%,-9.05%,1,100.00%
311,10:30:00,25,29,12.62%,-9.05%,1,100.00%
322,10:30:00,27,25,12.62%,-9.05%,1,100.00%
323,10:30:00,27,27,12.62%,-9.05%,1,100.00%
324,10:30:00,27,29,12.62%,-9.05%,1,100.00%
335,10:30:00,29,25,12.62%,-9.05%,1,100.00%
336,10:30:00,29,27,12.62%,-9.05%,1,100.00%
337,10:30:00,29,29,12.62%,-9.05%,1,100.00%
100,9:40:00,19,23,12.18%,-9.05%,1,100.00%
101,9:40:00,19,25,12.18%,-9.05%,1,100.00%
102,9:40:00,19,27,12.18%,-9.05%,1,100.00%
103,9:40:00,19,29,12.18%,-9.05%,1,100.00%
126,9:40:00,23,23,12.18%,-9.05%,1,100.00%
127,9:40:00,23,25,12.18%,-9.05%,1,100.00%
128,9:40:00,23,27,12.18%,-9.05%,1,100.00%
129,9:40:00,23,29,12.18%,-9.05%,1,100.00%
152,9:40:00,27,23,12.18%,-9.05%,1,100.00%
153,9:40:00,27,25,12.18%,-9.05%,1,100.00%
154,9:40:00,27,27,12.18%,-9.05%,1,100.00%
155,9:40:00,27,29,12.18%,-9.05%,1,100.00%
621,13:30:00,21,25,12.01%,-9.05%,3,66.67%
622,13:30:00,21,27,12.01%,-9.05%,3,66.67%
623,13:30:00,21,29,12.01%,-9.05%,3,66.67%
595,13:30:00,17,25,11.95%,-9.05%,3,100.00%
596,13:30:00,17,27,11.95%,-9.05%,3,100.00%
597,13:30:00,17,29,11.95%,-9.05%,3,100.00%
791,14:30:00,21,27,11.92%,-9.05%,3,66.67%
792,14:30:00,21,29,11.92%,-9.05%,3,66.67%
438,11:30:00,19,23,11.90%,-9.05%,2,100.00%
464,11:30:00,23,23,11.90%,-9.05%,2,100.00%
477,11:30:00,25,23,11.90%,-9.05%,2,100.00%
490,11:30:00,27,23,11.90%,-9.05%,2,100.00%
503,11:30:00,29,23,11.90%,-9.05%,2,100.00%
351,11:30:00,7,5,11.75%,-2.39%,4,75.00%
452,11:30:00,21,25,11.58%,-9.05%,3,100.00%
453,11:30:00,21,27,11.58%,-9.05%,3,100.00%
454,11:30:00,21,29,11.58%,-9.05%,3,100.00%
341,11:30:00,5,11,11.34%,-6.37%,5,60.00%
269,10:30:00,19,23,11.31%,-9.05%,2,100.00%
295,10:30:00,23,23,11.31%,-9.05%,2,100.00%
308,10:30:00,25,23,11.31%,-9.05%,2,100.00%
321,10:30:00,27,23,11.31%,-9.05%,2,100.00%
334,10:30:00,29,23,11.31%,-9.05%,2,100.00%
594,13:30:00,17,23,11.03%,-9.05%,4,100.00%
283,10:30:00,21,25,10.87%,-9.05%,3,100.00%
284,10:30:00,21,27,10.87%,-9.05%,3,100.00%
285,10:30:00,21,29,10.87%,-9.05%,3,100.00%
426,11:30:00,17,25,10.54%,-10.05%,5,80.00%
427,11:30:00,17,27,10.54%,-10.05%,5,80.00%
428,11:30:00,17,29,10.54%,-10.05%,5,80.00%
604,13:30:00,19,17,10.35%,-8.42%,2,50.00%
605,13:30:00,19,19,10.35%,-8.42%,2,50.00%
617,13:30:00,21,17,10.35%,-8.42%,2,50.00%
618,13:30:00,21,19,10.35%,-8.42%,2,50.00%
630,13:30:00,23,17,10.35%,-8.42%,2,50.00%
631,13:30:00,23,19,10.35%,-8.42%,2,50.00%
643,13:30:00,25,17,10.35%,-8.42%,2,50.00%
644,13:30:00,25,19,10.35%,-8.42%,2,50.00%
656,13:30:00,27,17,10.35%,-8.42%,2,50.00%
657,13:30:00,27,19,10.35%,-8.42%,2,50.00%
669,13:30:00,29,17,10.35%,-8.42%,2,50.00%
670,13:30:00,29,19,10.35%,-8.42%,2,50.00%
338,11:30:00,5,5,10.31%,-7.23%,6,50.00%
263,10:30:00,19,11,9.93%,-8.42%,3,66.67%
276,10:30:00,21,11,9.93%,-8.42%,3,66.67%
289,10:30:00,23,11,9.93%,-8.42%,3,66.67%
302,10:30:00,25,11,9.93%,-8.42%,3,66.67%
315,10:30:00,27,11,9.93%,-8.42%,3,66.67%
328,10:30:00,29,11,9.93%,-8.42%,3,66.67%
257,10:30:00,17,25,9.88%,-10.16%,5,80.00%
258,10:30:00,17,27,9.88%,-10.16%,5,80.00%
259,10:30:00,17,29,9.88%,-10.16%,5,80.00%
430,11:30:00,19,7,9.80%,-8.10%,3,66.67%
443,11:30:00,21,7,9.80%,-8.10%,3,66.67%
456,11:30:00,23,7,9.80%,-8.10%,3,66.67%
469,11:30:00,25,7,9.80%,-8.10%,3,66.67%
482,11:30:00,27,7,9.80%,-8.10%,3,66.67%
495,11:30:00,29,7,9.80%,-8.10%,3,66.67%
165,9:40:00,29,23,9.73%,-9.05%,3,66.67%
166,9:40:00,29,25,9.73%,-9.05%,3,66.67%
167,9:40:00,29,27,9.73%,-9.05%,3,66.67%
168,9:40:00,29,29,9.73%,-9.05%,3,66.67%
172,10:30:00,5,11,9.59%,-6.65%,6,50.00%
173,10:30:00,5,13,9.59%,-6.65%,6,50.00%
282,10:30:00,21,23,9.58%,-9.35%,3,100.00%
352,11:30:00,7,7,9.54%,-4.32%,4,50.00%
425,11:30:00,17,23,9.53%,-10.05%,6,66.67%
139,9:40:00,25,23,9.51%,-9.05%,3,66.67%
140,9:40:00,25,25,9.51%,-9.05%,3,66.67%
141,9:40:00,25,27,9.51%,-9.05%,3,66.67%
142,9:40:00,25,29,9.51%,-9.05%,3,66.67%
764,14:30:00,17,25,9.37%,-10.46%,5,100.00%
765,14:30:00,17,27,9.37%,-10.46%,5,100.00%
766,14:30:00,17,29,9.37%,-10.46%,5,100.00%
435,11:30:00,19,17,9.33%,-8.42%,2,50.00%
448,11:30:00,21,17,9.33%,-8.42%,2,50.00%
461,11:30:00,23,17,9.33%,-8.42%,2,50.00%
474,11:30:00,25,17,9.33%,-8.42%,2,50.00%
487,11:30:00,27,17,9.33%,-8.42%,2,50.00%
500,11:30:00,29,17,9.33%,-8.42%,2,50.00%
113,9:40:00,21,23,9.27%,-9.05%,4,75.00%
403,11:30:00,15,5,9.21%,-4.31%,6,83.33%
