,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
772,14:30:00,19,15,9.20%,-8.84%,2,50.00%
773,14:30:00,19,17,9.20%,-8.84%,2,50.00%
774,14:30:00,19,19,9.20%,-8.84%,2,50.00%
775,14:30:00,19,21,9.20%,-8.84%,2,50.00%
776,14:30:00,19,23,9.20%,-8.84%,2,50.00%
785,14:30:00,21,15,9.20%,-8.84%,2,50.00%
786,14:30:00,21,17,9.20%,-8.84%,2,50.00%
787,14:30:00,21,19,9.20%,-8.84%,2,50.00%
798,14:30:00,23,15,9.20%,-8.84%,2,50.00%
799,14:30:00,23,17,9.20%,-8.84%,2,50.00%
800,14:30:00,23,19,9.20%,-8.84%,2,50.00%
811,14:30:00,25,15,9.20%,-8.84%,2,50.00%
812,14:30:00,25,17,9.20%,-8.84%,2,50.00%
813,14:30:00,25,19,9.20%,-8.84%,2,50.00%
824,14:30:00,27,15,9.20%,-8.84%,2,50.00%
825,14:30:00,27,17,9.20%,-8.84%,2,50.00%
826,14:30:00,27,19,9.20%,-8.84%,2,50.00%
837,14:30:00,29,15,9.20%,-8.84%,2,50.00%
838,14:30:00,29,17,9.20%,-8.84%,2,50.00%
839,14:30:00,29,19,9.20%,-8.84%,2,50.00%
264,10:30:00,19,13,9.01%,-8.87%,3,100.00%
277,10:30:00,21,13,9.01%,-8.87%,3,100.00%
290,10:30:00,23,13,9.01%,-8.87%,3,100.00%
303,10:30:00,25,13,9.01%,-8.87%,3,100.00%
316,10:30:00,27,13,9.01%,-8.87%,3,100.00%
329,10:30:00,29,13,9.01%,-8.87%,3,100.00%
790,14:30:00,21,25,8.95%,-9.05%,2,50.00%
436,11:30:00,19,19,8.85%,-9.05%,2,100.00%
437,11:30:00,19,21,8.85%,-9.05%,2,100.00%
449,11:30:00,21,19,8.85%,-9.05%,2,100.00%
450,11:30:00,21,21,8.85%,-9.05%,2,100.00%
451,11:30:00,21,23,8.85%,-9.05%,2,100.00%
462,11:30:00,23,19,8.85%,-9.05%,2,100.00%
463,11:30:00,23,21,8.85%,-9.05%,2,100.00%
475,11:30:00,25,19,8.85%,-9.05%,2,100.00%
476,11:30:00,25,21,8.85%,-9.05%,2,100.00%
488,11:30:00,27,19,8.85%,-9.05%,2,100.00%
489,11:30:00,27,21,8.85%,-9.05%,2,100.00%
501,11:30:00,29,19,8.85%,-9.05%,2,100.00%
502,11:30:00,29,21,8.85%,-9.05%,2,100.00%
114,9:40:00,21,25,8.82%,-9.05%,5,60.00%
115,9:40:00,21,27,8.82%,-9.05%,5,60.00%
116,9:40:00,21,29,8.82%,-9.05%,5,60.00%
606,13:30:00,19,21,8.75%,-9.13%,2,50.00%
619,13:30:00,21,21,8.75%,-9.13%,2,50.00%
620,13:30:00,21,23,8.75%,-9.13%,2,50.00%
632,13:30:00,23,21,8.75%,-9.13%,2,50.00%
645,13:30:00,25,21,8.75%,-9.13%,2,50.00%
658,13:30:00,27,21,8.75%,-9.13%,2,50.00%
671,13:30:00,29,21,8.75%,-9.13%,2,50.00%
591,13:30:00,17,17,8.71%,-8.42%,4,75.00%
592,13:30:00,17,19,8.71%,-8.42%,4,75.00%
417,11:30:00,17,7,8.67%,-8.10%,5,60.00%
256,10:30:00,17,23,8.60%,-10.16%,6,66.67%
250,10:30:00,17,11,8.57%,-8.42%,5,60.00%
390,11:30:00,13,5,8.55%,-4.31%,4,75.00%
788,14:30:00,21,21,8.42%,-9.48%,2,50.00%
789,14:30:00,21,23,8.42%,-9.48%,2,50.00%
801,14:30:00,23,21,8.42%,-9.48%,2,50.00%
802,14:30:00,23,23,8.42%,-9.48%,2,50.00%
814,14:30:00,25,21,8.42%,-9.48%,2,50.00%
815,14:30:00,25,23,8.42%,-9.48%,2,50.00%
827,14:30:00,27,21,8.42%,-9.48%,2,50.00%
828,14:30:00,27,23,8.42%,-9.48%,2,50.00%
840,14:30:00,29,21,8.42%,-9.48%,2,50.00%
841,14:30:00,29,23,8.42%,-9.48%,2,50.00%
267,10:30:00,19,19,8.32%,-9.05%,2,100.00%
268,10:30:00,19,21,8.32%,-9.05%,2,100.00%
280,10:30:00,21,19,8.32%,-9.05%,2,100.00%
281,10:30:00,21,21,8.32%,-9.05%,2,100.00%
293,10:30:00,23,19,8.32%,-9.05%,2,100.00%
294,10:30:00,23,21,8.32%,-9.05%,2,100.00%
306,10:30:00,25,19,8.32%,-9.05%,2,100.00%
307,10:30:00,25,21,8.32%,-9.05%,2,100.00%
319,10:30:00,27,19,8.32%,-9.05%,2,100.00%
320,10:30:00,27,21,8.32%,-9.05%,2,100.00%
332,10:30:00,29,19,8.32%,-9.05%,2,100.00%
333,10:30:00,29,21,8.32%,-9.05%,2,100.00%
377,11:30:00,11,5,8.20%,-4.33%,6,50.00%
339,11:30:00,5,7,8.13%,-9.06%,6,50.00%
340,11:30:00,5,9,8.13%,-9.06%,6,50.00%
342,11:30:00,5,13,8.13%,-9.06%,6,50.00%
343,11:30:00,5,15,8.13%,-9.06%,6,50.00%
344,11:30:00,5,17,8.13%,-9.06%,6,50.00%
345,11:30:00,5,19,8.13%,-9.06%,6,50.00%
346,11:30:00,5,21,8.13%,-9.06%,6,50.00%
347,11:30:00,5,23,8.13%,-9.06%,6,50.00%
348,11:30:00,5,25,8.13%,-9.06%,6,50.00%
349,11:30:00,5,27,8.13%,-9.06%,6,50.00%
350,11:30:00,5,29,8.13%,-9.06%,6,50.00%
603,13:30:00,19,15,7.83%,-9.90%,3,33.33%
616,13:30:00,21,15,7.83%,-9.90%,3,33.33%
629,13:30:00,23,15,7.83%,-9.90%,3,33.33%
642,13:30:00,25,15,7.83%,-9.90%,3,33.33%
655,13:30:00,27,15,7.83%,-9.90%,3,33.33%
668,13:30:00,29,15,7.83%,-9.90%,3,33.33%
713,14:30:00,9,27,7.82%,-8.42%,8,75.00%
714,14:30:00,9,29,7.82%,-8.42%,8,75.00%
432,11:30:00,19,11,7.78%,-9.80%,3,66.67%
445,11:30:00,21,11,7.78%,-9.80%,3,66.67%
458,11:30:00,23,11,7.78%,-9.80%,3,66.67%
471,11:30:00,25,11,7.78%,-9.80%,3,66.67%
484,11:30:00,27,11,7.78%,-9.80%,3,66.67%
497,11:30:00,29,11,7.78%,-9.80%,3,66.67%
273,10:30:00,21,5,7.76%,-8.19%,6,66.67%
434,11:30:00,19,15,7.72%,-8.79%,3,66.67%
447,11:30:00,21,15,7.72%,-8.79%,3,66.67%
460,11:30:00,23,15,7.72%,-8.79%,3,66.67%
473,11:30:00,25,15,7.72%,-8.79%,3,66.67%
486,11:30:00,27,15,7.72%,-8.79%,3,66.67%
499,11:30:00,29,15,7.72%,-8.79%,3,66.67%
251,10:30:00,17,13,7.67%,-8.87%,5,80.00%
261,10:30:00,19,7,7.47%,-9.77%,3,66.67%
274,10:30:00,21,7,7.47%,-9.77%,3,66.67%
287,10:30:00,23,7,7.47%,-9.77%,3,66.67%
300,10:30:00,25,7,7.47%,-9.77%,3,66.67%
313,10:30:00,27,7,7.47%,-9.77%,3,66.67%
326,10:30:00,29,7,7.47%,-9.77%,3,66.67%
433,11:30:00,19,13,7.42%,-10.10%,3,66.67%
446,11:30:00,21,13,7.42%,-10.10%,3,66.67%
459,11:30:00,23,13,7.42%,-10.10%,3,66.67%
472,11:30:00,25,13,7.42%,-10.10%,3,66.67%
485,11:30:00,27,13,7.42%,-10.10%,3,66.67%
498,11:30:00,29,13,7.42%,-10.10%,3,66.67%
185,10:30:00,7,11,7.20%,-8.42%,5,40.00%
186,10:30:00,7,13,7.20%,-8.42%,5,40.00%
96,9:40:00,19,15,7.17%,-9.05%,2,50.00%
97,9:40:00,19,17,7.17%,-9.05%,2,50.00%
98,9:40:00,19,19,7.17%,-9.05%,2,50.00%
99,9:40:00,19,21,7.17%,-9.05%,2,50.00%
122,9:40:00,23,15,7.17%,-9.05%,2,50.00%
123,9:40:00,23,17,7.17%,-9.05%,2,50.00%
124,9:40:00,23,19,7.17%,-9.05%,2,50.00%
125,9:40:00,23,21,7.17%,-9.05%,2,50.00%
148,9:40:00,27,15,7.17%,-9.05%,2,50.00%
149,9:40:00,27,17,7.17%,-9.05%,2,50.00%
150,9:40:00,27,19,7.17%,-9.05%,2,50.00%
151,9:40:00,27,21,7.17%,-9.05%,2,50.00%
593,13:30:00,17,21,7.13%,-9.13%,4,75.00%
599,13:30:00,19,7,7.11%,-10.51%,3,33.33%
600,13:30:00,19,9,7.11%,-10.51%,3,33.33%
612,13:30:00,21,7,7.11%,-10.51%,3,33.33%
613,13:30:00,21,9,7.11%,-10.51%,3,33.33%
625,13:30:00,23,7,7.11%,-10.51%,3,33.33%
626,13:30:00,23,9,7.11%,-10.51%,3,33.33%
638,13:30:00,25,7,7.11%,-10.51%,3,33.33%
639,13:30:00,25,9,7.11%,-10.51%,3,33.33%
651,13:30:00,27,7,7.11%,-10.51%,3,33.33%
652,13:30:00,27,9,7.11%,-10.51%,3,33.33%
664,13:30:00,29,7,7.11%,-10.51%,3,33.33%
665,13:30:00,29,9,7.11%,-10.51%,3,33.33%
767,14:30:00,19,5,7.07%,-10.62%,3,33.33%
768,14:30:00,19,7,7.07%,-10.62%,3,33.33%
780,14:30:00,21,5,7.07%,-10.62%,3,33.33%
781,14:30:00,21,7,7.07%,-10.62%,3,33.33%
793,14:30:00,23,5,7.07%,-10.62%,3,33.33%
794,14:30:00,23,7,7.07%,-10.62%,3,33.33%
806,14:30:00,25,5,7.07%,-10.62%,3,33.33%
807,14:30:00,25,7,7.07%,-10.62%,3,33.33%
819,14:30:00,27,5,7.07%,-10.62%,3,33.33%
820,14:30:00,27,7,7.07%,-10.62%,3,33.33%
832,14:30:00,29,5,7.07%,-10.62%,3,33.33%
833,14:30:00,29,7,7.07%,-10.62%,3,33.33%
422,11:30:00,17,17,7.02%,-8.42%,6,50.00%
521,13:30:00,7,7,7.02%,-6.38%,5,60.00%
522,13:30:00,7,9,7.02%,-6.38%,5,60.00%
208,10:30:00,11,5,6.89%,-4.37%,6,66.67%
266,10:30:00,19,17,6.86%,-9.05%,2,50.00%
279,10:30:00,21,17,6.86%,-9.05%,2,50.00%
292,10:30:00,23,17,6.86%,-9.05%,2,50.00%
305,10:30:00,25,17,6.86%,-9.05%,2,50.00%
318,10:30:00,27,17,6.86%,-9.05%,2,50.00%
331,10:30:00,29,17,6.86%,-9.05%,2,50.00%
419,11:30:00,17,11,6.67%,-9.80%,5,60.00%
244,10:30:00,15,25,6.59%,-10.16%,6,83.33%
245,10:30:00,15,27,6.59%,-10.16%,6,83.33%
246,10:30:00,15,29,6.59%,-10.16%,6,83.33%
91,9:40:00,19,5,6.58%,-11.12%,4,50.00%
117,9:40:00,23,5,6.58%,-11.12%,4,50.00%
143,9:40:00,27,5,6.58%,-11.12%,4,50.00%
423,11:30:00,17,19,6.54%,-10.05%,6,66.67%
424,11:30:00,17,21,6.54%,-10.05%,6,66.67%
260,10:30:00,19,5,6.53%,-7.89%,5,60.00%
286,10:30:00,23,5,6.53%,-7.89%,5,60.00%
299,10:30:00,25,5,6.53%,-7.89%,5,60.00%
312,10:30:00,27,5,6.53%,-7.89%,5,60.00%
325,10:30:00,29,5,6.53%,-7.89%,5,60.00%
364,11:30:00,9,5,6.52%,-4.05%,6,66.67%
733,14:30:00,13,15,6.48%,-8.42%,4,75.00%
734,14:30:00,13,17,6.48%,-8.42%,4,75.00%
735,14:30:00,13,19,6.48%,-8.42%,4,75.00%
736,14:30:00,13,21,6.48%,-8.42%,4,75.00%
737,14:30:00,13,23,6.48%,-8.42%,4,75.00%
738,14:30:00,13,25,6.48%,-8.42%,4,75.00%
739,14:30:00,13,27,6.48%,-8.42%,4,75.00%
740,14:30:00,13,29,6.48%,-8.42%,4,75.00%
543,13:30:00,9,25,6.41%,-8.42%,8,50.00%
544,13:30:00,9,27,6.41%,-8.42%,8,50.00%
545,13:30:00,9,29,6.41%,-8.42%,8,50.00%
420,11:30:00,17,13,6.31%,-10.10%,5,60.00%
771,14:30:00,19,13,6.30%,-11.25%,3,33.33%
784,14:30:00,21,13,6.30%,-11.25%,3,33.33%
797,14:30:00,23,13,6.30%,-11.25%,3,33.33%
810,14:30:00,25,13,6.30%,-11.25%,3,33.33%
823,14:30:00,27,13,6.30%,-11.25%,3,33.33%
836,14:30:00,29,13,6.30%,-11.25%,3,33.33%
590,13:30:00,17,15,6.23%,-9.90%,5,60.00%
598,13:30:00,19,5,6.17%,-9.51%,5,20.00%
611,13:30:00,21,5,6.17%,-9.51%,5,20.00%
624,13:30:00,23,5,6.17%,-9.51%,5,20.00%
637,13:30:00,25,5,6.17%,-9.51%,5,20.00%
650,13:30:00,27,5,6.17%,-9.51%,5,20.00%
663,13:30:00,29,5,6.17%,-9.51%,5,20.00%
248,10:30:00,17,7,6.14%,-9.77%,5,60.00%
254,10:30:00,17,19,5.68%,-10.16%,6,66.67%
255,10:30:00,17,21,5.68%,-10.16%,6,66.67%
413,11:30:00,15,25,5.59%,-10.05%,6,83.33%
414,11:30:00,15,27,5.59%,-10.05%,6,83.33%
415,11:30:00,15,29,5.59%,-10.05%,6,83.33%
508,13:30:00,5,7,5.52%,-11.39%,6,33.33%
509,13:30:00,5,9,5.52%,-11.39%,6,33.33%
510,13:30:00,5,11,5.52%,-11.39%,6,33.33%
511,13:30:00,5,13,5.52%,-11.39%,6,33.33%
512,13:30:00,5,15,5.52%,-11.39%,6,33.33%
513,13:30:00,5,17,5.52%,-11.39%,6,33.33%
514,13:30:00,5,19,5.52%,-11.39%,6,33.33%
515,13:30:00,5,21,5.52%,-11.39%,6,33.33%
516,13:30:00,5,23,5.52%,-11.39%,6,33.33%
517,13:30:00,5,25,5.52%,-11.39%,6,33.33%
518,13:30:00,5,27,5.52%,-11.39%,6,33.33%
519,13:30:00,5,29,5.52%,-11.39%,6,33.33%
586,13:30:00,17,7,5.51%,-10.51%,5,60.00%
587,13:30:00,17,9,5.51%,-10.51%,5,60.00%
421,11:30:00,17,15,5.44%,-9.67%,6,50.00%
214,10:30:00,11,17,5.43%,-8.42%,5,40.00%
215,10:30:00,11,19,5.43%,-8.42%,5,40.00%
216,10:30:00,11,21,5.43%,-8.42%,5,40.00%
217,10:30:00,11,23,5.43%,-8.42%,5,40.00%
218,10:30:00,11,25,5.43%,-8.42%,5,40.00%
219,10:30:00,11,27,5.43%,-8.42%,5,40.00%
220,10:30:00,11,29,5.43%,-8.42%,5,40.00%
262,10:30:00,19,9,5.42%,-11.49%,4,50.00%
275,10:30:00,21,9,5.42%,-11.49%,4,50.00%
288,10:30:00,23,9,5.42%,-11.49%,4,50.00%
301,10:30:00,25,9,5.42%,-11.49%,4,50.00%
314,10:30:00,27,9,5.42%,-11.49%,4,50.00%
327,10:30:00,29,9,5.42%,-11.49%,4,50.00%
243,10:30:00,15,23,5.34%,-10.16%,7,71.43%
237,10:30:00,15,11,5.32%,-8.42%,5,80.00%
520,13:30:00,7,5,5.26%,-7.92%,6,66.67%
769,14:30:00,19,9,5.26%,-12.13%,3,33.33%
770,14:30:00,19,11,5.26%,-12.13%,3,33.33%
782,14:30:00,21,9,5.26%,-12.13%,3,33.33%
783,14:30:00,21,11,5.26%,-12.13%,3,33.33%
795,14:30:00,23,9,5.26%,-12.13%,3,33.33%
796,14:30:00,23,11,5.26%,-12.13%,3,33.33%
808,14:30:00,25,9,5.26%,-12.13%,3,33.33%
809,14:30:00,25,11,5.26%,-12.13%,3,33.33%
821,14:30:00,27,9,5.26%,-12.13%,3,33.33%
822,14:30:00,27,11,5.26%,-12.13%,3,33.33%
834,14:30:00,29,9,5.26%,-12.13%,3,33.33%
835,14:30:00,29,11,5.26%,-12.13%,3,33.33%
195,10:30:00,9,5,5.25%,-6.31%,6,50.00%
0,9:40:00,5,5,5.24%,-12.05%,7,42.86%
1,9:40:00,5,7,5.24%,-12.05%,7,42.86%
5,9:40:00,5,15,5.24%,-12.05%,7,42.86%
6,9:40:00,5,17,5.24%,-12.05%,7,42.86%
7,9:40:00,5,19,5.24%,-12.05%,7,42.86%
8,9:40:00,5,21,5.24%,-12.05%,7,42.86%
9,9:40:00,5,23,5.24%,-12.05%,7,42.86%
10,9:40:00,5,25,5.24%,-12.05%,7,42.86%
11,9:40:00,5,27,5.24%,-12.05%,7,42.86%
12,9:40:00,5,29,5.24%,-12.05%,7,42.86%
754,14:30:00,17,5,5.23%,-10.05%,6,66.67%
247,10:30:00,17,5,5.21%,-7.89%,7,57.14%
170,10:30:00,5,7,5.20%,-10.44%,7,42.86%
174,10:30:00,5,15,5.20%,-10.44%,7,42.86%
175,10:30:00,5,17,5.20%,-10.44%,7,42.86%
176,10:30:00,5,19,5.20%,-10.44%,7,42.86%
177,10:30:00,5,21,5.20%,-10.44%,7,42.86%
178,10:30:00,5,23,5.20%,-10.44%,7,42.86%
179,10:30:00,5,25,5.20%,-10.44%,7,42.86%
180,10:30:00,5,27,5.20%,-10.44%,7,42.86%
181,10:30:00,5,29,5.20%,-10.44%,7,42.86%
169,10:30:00,5,5,5.09%,-10.52%,7,42.86%
171,10:30:00,5,9,5.09%,-10.52%,7,42.86%
676,14:30:00,5,5,5.02%,-13.34%,6,33.33%
677,14:30:00,5,7,5.02%,-13.34%,6,33.33%
678,14:30:00,5,9,5.02%,-13.34%,6,33.33%
679,14:30:00,5,11,5.02%,-13.34%,6,33.33%
680,14:30:00,5,13,5.02%,-13.34%,6,33.33%
681,14:30:00,5,15,5.02%,-13.34%,6,33.33%
682,14:30:00,5,17,5.02%,-13.34%,6,33.33%
683,14:30:00,5,19,5.02%,-13.34%,6,33.33%
684,14:30:00,5,21,5.02%,-13.34%,6,33.33%
685,14:30:00,5,23,5.02%,-13.34%,6,33.33%
686,14:30:00,5,25,5.02%,-13.34%,6,33.33%
