,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
33,14:30:00,13,22,58.95%,-7.1%,38,57.89%
32,14:30:00,13,19,58.72%,-7.1%,39,58.97%
31,14:30:00,13,16,56.05%,-6.9%,42,59.52%
51,14:30:00,19,22,51.85%,-9.0%,32,46.88%
29,14:30:00,13,10,49.77%,-10.2%,41,63.41%
18,14:30:00,10,4,48.42%,-6.6%,59,52.54%
50,14:30:00,19,19,47.01%,-9.3%,32,43.75%
49,14:30:00,19,16,46.35%,-10.7%,35,42.86%
22,14:30:00,10,16,45.47%,-8.9%,52,48.08%
24,14:30:00,10,22,44.78%,-9.8%,52,46.15%
41,14:30:00,16,19,44.71%,-8.0%,37,59.46%
30,14:30:00,13,13,44.53%,-10.2%,42,59.52%
35,14:30:00,13,28,44.05%,-10.5%,36,52.78%
23,14:30:00,10,19,43.13%,-8.9%,51,45.10%
40,14:30:00,16,16,42.65%,-9.4%,40,55.00%
58,14:30:00,22,16,42.60%,-9.3%,29,51.72%
42,14:30:00,16,22,41.75%,-9.1%,36,58.33%
25,14:30:00,10,25,41.09%,-9.8%,50,48.00%
21,14:30:00,10,13,40.92%,-10.1%,52,48.08%
34,14:30:00,13,25,40.46%,-10.5%,37,48.65%
59,14:30:00,22,19,40.37%,-9.1%,28,50.00%
26,14:30:00,10,28,39.82%,-9.8%,49,46.94%
69,14:30:00,25,22,39.36%,-9.8%,36,58.33%
20,14:30:00,10,10,39.13%,-12.3%,51,47.06%
60,14:30:00,22,22,38.29%,-8.8%,29,48.28%
47,14:30:00,19,10,38.02%,-11.8%,35,42.86%
67,14:30:00,25,16,36.22%,-10.7%,36,52.78%
43,14:30:00,16,25,36.00%,-10.4%,38,55.26%
44,14:30:00,16,28,35.93%,-9.2%,38,55.26%
68,14:30:00,25,19,35.91%,-9.8%,34,55.88%
53,14:30:00,19,28,35.58%,-12.4%,35,42.86%
27,14:30:00,13,4,34.73%,-8.5%,56,53.57%
52,14:30:00,19,25,33.72%,-12.8%,34,44.12%
57,14:30:00,22,13,33.40%,-12.7%,30,53.33%
48,14:30:00,19,13,33.14%,-11.8%,36,44.44%
71,14:30:00,25,28,32.18%,-11.2%,37,56.76%
28,14:30:00,13,7,32.09%,-11.8%,46,54.35%
19,14:30:00,10,7,31.82%,-13.4%,51,43.14%
38,14:30:00,16,10,31.44%,-12.0%,40,57.50%
12,14:30:00,7,13,31.40%,-14.7%,44,54.55%
56,14:30:00,22,10,30.73%,-12.7%,30,46.67%
62,14:30:00,22,28,30.56%,-10.9%,33,54.55%
13,14:30:00,7,16,30.17%,-13.8%,45,53.33%
76,14:30:00,28,16,30.06%,-11.6%,29,37.93%
77,14:30:00,28,19,29.49%,-10.2%,27,40.74%
65,14:30:00,25,10,29.43%,-12.7%,36,52.78%
14,14:30:00,7,19,28.51%,-14.7%,42,52.38%
39,14:30:00,16,13,28.35%,-11.8%,42,52.38%
17,14:30:00,7,28,28.19%,-14.1%,43,48.84%
11,14:30:00,7,10,28.07%,-18.8%,50,54.00%
15,14:30:00,7,22,28.05%,-14.1%,40,52.50%
70,14:30:00,25,25,27.69%,-12.3%,37,56.76%
66,14:30:00,25,13,27.65%,-12.7%,39,53.85%
2,14:30:00,4,10,27.51%,-10.3%,71,46.48%
16,14:30:00,7,25,27.46%,-14.1%,40,52.50%
78,14:30:00,28,22,27.17%,-10.2%,29,37.93%
45,14:30:00,19,4,26.88%,-12.9%,53,43.40%
74,14:30:00,28,10,26.24%,-12.3%,30,40.00%
36,14:30:00,16,4,25.33%,-9.4%,58,48.28%
61,14:30:00,22,25,23.75%,-12.1%,31,48.39%
10,14:30:00,7,7,23.71%,-16.2%,51,49.02%
0,14:30:00,4,4,23.19%,-15.6%,80,43.75%
5,14:30:00,4,19,22.71%,-13.8%,67,46.27%
3,14:30:00,4,13,22.47%,-12.2%,67,43.28%
9,14:30:00,7,4,22.45%,-13.5%,58,44.83%
37,14:30:00,16,7,22.45%,-15.0%,46,47.83%
80,14:30:00,28,28,22.11%,-12.2%,33,36.36%
46,14:30:00,19,7,21.79%,-14.0%,44,38.64%
6,14:30:00,4,22,21.53%,-14.8%,67,44.78%
75,14:30:00,28,13,20.88%,-12.3%,30,43.33%
4,14:30:00,4,16,20.30%,-13.3%,68,45.59%
54,14:30:00,22,4,18.46%,-9.7%,50,42.00%
64,14:30:00,25,7,17.37%,-14.0%,41,46.34%
63,14:30:00,25,4,17.09%,-11.9%,53,41.51%
55,14:30:00,22,7,16.70%,-14.9%,38,36.84%
73,14:30:00,28,7,16.45%,-14.7%,39,35.90%
8,14:30:00,4,28,16.22%,-16.5%,66,43.94%
79,14:30:00,28,25,16.19%,-15.8%,33,36.36%
72,14:30:00,28,4,15.31%,-12.0%,57,42.11%
1,14:30:00,4,7,15.09%,-19.0%,80,45.00%
7,14:30:00,4,25,12.43%,-18.4%,68,42.65%
