,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
0,09:40:00,5,5,15.35%,0.0,4,75.00%
1,09:40:00,5,7,15.35%,0.0,4,75.00%
2,09:40:00,7,5,10.04%,0.0,4,50.00%
3,09:40:00,7,7,10.04%,0.0,4,50.00%
4,10:00:00,5,5,14.62%,0.0,4,75.00%
5,10:00:00,5,7,14.62%,0.0,4,75.00%
6,10:00:00,7,5,10.19%,0.0,4,50.00%
7,10:00:00,7,7,10.19%,0.0,4,50.00%
8,10:30:00,5,5,14.01%,0.0,4,75.00%
9,10:30:00,5,7,14.01%,0.0,4,75.00%
10,10:30:00,7,5,10.88%,0.0,4,75.00%
11,10:30:00,7,7,10.88%,0.0,4,75.00%
12,11:00:00,5,5,13.23%,0.0,4,75.00%
13,11:00:00,5,7,13.23%,0.0,4,75.00%
14,11:00:00,7,5,10.33%,0.0,4,75.00%
15,11:00:00,7,7,10.33%,0.0,4,75.00%
16,11:30:00,5,5,15.30%,0.0,3,100.00%
17,11:30:00,5,7,15.30%,0.0,3,100.00%
18,11:30:00,7,5,10.10%,0.0,4,75.00%
19,11:30:00,7,7,10.10%,0.0,4,75.00%
20,13:10:00,5,5,14.99%,0.0,3,100.00%
21,13:10:00,5,7,14.99%,0.0,3,100.00%
22,13:10:00,7,5,9.49%,0.0,4,50.00%
23,13:10:00,7,7,9.49%,0.0,4,50.00%
24,13:30:00,5,5,14.90%,0.0,3,100.00%
25,13:30:00,5,7,14.90%,0.0,3,100.00%
26,13:30:00,7,5,9.39%,0.0,4,50.00%
27,13:30:00,7,7,9.39%,0.0,4,50.00%
28,14:00:00,5,5,15.63%,0.0,3,100.00%
29,14:00:00,5,7,15.63%,0.0,3,100.00%
30,14:00:00,7,5,9.32%,0.0,3,66.67%
31,14:00:00,7,7,9.77%,0.0,4,75.00%
32,14:30:00,5,5,15.71%,0.0,3,100.00%
33,14:30:00,5,7,15.71%,0.0,3,100.00%
34,14:30:00,7,5,9.03%,0.0,4,75.00%
35,14:30:00,7,7,9.03%,0.0,4,75.00%
36,15:00:00,5,5,14.77%,0.0,3,100.00%
37,15:00:00,5,7,14.77%,0.0,3,100.00%
38,15:00:00,7,5,8.36%,0.0,4,75.00%
39,15:00:00,7,7,8.36%,0.0,4,75.00%
