,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
40,14:30:00,16,16,31.37%,-11.40%,5,80.00%
41,14:30:00,16,19,31.37%,-11.40%,5,80.00%
42,14:30:00,16,22,31.37%,-11.40%,5,80.00%
43,14:30:00,16,25,31.37%,-11.40%,5,80.00%
44,14:30:00,16,28,31.37%,-11.40%,5,80.00%
39,14:30:00,16,13,31.31%,-11.40%,5,80.00%
31,14:30:00,13,16,31.21%,-11.40%,3,100.00%
32,14:30:00,13,19,31.21%,-11.40%,3,100.00%
33,14:30:00,13,22,31.21%,-11.40%,3,100.00%
34,14:30:00,13,25,31.21%,-11.40%,3,100.00%
35,14:30:00,13,28,31.21%,-11.40%,3,100.00%
30,14:30:00,13,13,29.84%,-11.40%,4,75.00%
22,14:30:00,10,16,28.54%,-7.68%,7,85.71%
23,14:30:00,10,19,28.54%,-7.68%,7,85.71%
24,14:30:00,10,22,28.54%,-7.68%,7,85.71%
25,14:30:00,10,25,28.54%,-7.68%,7,85.71%
26,14:30:00,10,28,28.54%,-7.68%,7,85.71%
50,14:30:00,19,19,28.27%,-11.52%,3,100.00%
51,14:30:00,19,22,28.27%,-11.52%,3,100.00%
52,14:30:00,19,25,28.27%,-11.52%,3,100.00%
53,14:30:00,19,28,28.27%,-11.52%,3,100.00%
21,14:30:00,10,13,27.20%,-7.68%,8,75.00%
36,14:30:00,16,4,25.70%,-8.17%,9,55.56%
27,14:30:00,13,4,25.55%,-8.17%,7,57.14%
2,14:30:00,4,10,25.00%,-10.99%,13,53.85%
49,14:30:00,19,16,23.17%,-12.58%,3,100.00%
18,14:30:00,10,4,23.09%,-7.66%,9,66.67%
37,14:30:00,16,7,22.95%,-8.92%,5,60.00%
48,14:30:00,19,13,21.89%,-12.58%,4,75.00%
28,14:30:00,13,7,21.58%,-8.92%,5,40.00%
46,14:30:00,19,7,21.58%,-8.92%,5,40.00%
38,14:30:00,16,10,21.21%,-7.54%,4,75.00%
29,14:30:00,13,10,19.86%,-7.94%,4,75.00%
47,14:30:00,19,10,19.86%,-7.94%,4,75.00%
19,14:30:00,10,7,19.19%,-8.65%,8,62.50%
1,14:30:00,4,7,19.05%,-13.31%,14,50.00%
3,14:30:00,4,13,19.05%,-13.31%,14,50.00%
7,14:30:00,4,25,19.05%,-13.31%,14,50.00%
8,14:30:00,4,28,19.05%,-13.31%,14,50.00%
45,14:30:00,19,4,17.86%,-11.31%,7,42.86%
20,14:30:00,10,10,17.51%,-7.94%,7,85.71%
0,14:30:00,4,4,16.52%,-13.31%,14,50.00%
4,14:30:00,4,16,14.20%,-13.96%,13,46.15%
5,14:30:00,4,19,13.39%,-14.57%,14,42.86%
6,14:30:00,4,22,13.39%,-14.57%,14,42.86%
59,14:30:00,22,19,11.50%,-11.52%,4,75.00%
60,14:30:00,22,22,11.50%,-11.52%,4,75.00%
61,14:30:00,22,25,11.50%,-11.52%,4,75.00%
62,14:30:00,22,28,11.50%,-11.52%,4,75.00%
67,14:30:00,25,16,9.77%,-13.82%,4,75.00%
76,14:30:00,28,16,9.77%,-13.82%,4,75.00%
66,14:30:00,25,13,9.73%,-12.94%,4,75.00%
75,14:30:00,28,13,9.73%,-12.94%,4,75.00%
68,14:30:00,25,19,9.65%,-13.91%,3,100.00%
69,14:30:00,25,22,9.65%,-13.91%,3,100.00%
70,14:30:00,25,25,9.65%,-13.91%,3,100.00%
71,14:30:00,25,28,9.65%,-13.91%,3,100.00%
77,14:30:00,28,19,9.65%,-13.91%,3,100.00%
78,14:30:00,28,22,9.65%,-13.91%,3,100.00%
79,14:30:00,28,25,9.65%,-13.91%,3,100.00%
80,14:30:00,28,28,9.65%,-13.91%,3,100.00%
65,14:30:00,25,10,7.90%,-9.74%,4,50.00%
74,14:30:00,28,10,7.90%,-9.74%,4,50.00%
58,14:30:00,22,16,5.65%,-15.47%,5,60.00%
57,14:30:00,22,13,5.61%,-14.61%,5,60.00%
55,14:30:00,22,7,4.60%,-10.83%,7,28.57%
56,14:30:00,22,10,3.85%,-11.47%,5,40.00%
64,14:30:00,25,7,2.87%,-13.95%,6,33.33%
73,14:30:00,28,7,2.87%,-13.95%,6,33.33%
54,14:30:00,22,4,2.45%,-14.58%,9,44.44%
9,14:30:00,7,4,2.25%,-13.79%,13,53.85%
63,14:30:00,25,4,0.75%,-17.57%,8,37.50%
72,14:30:00,28,4,0.75%,-17.57%,8,37.50%
13,14:30:00,7,16,-0.21%,-16.22%,12,58.33%
14,14:30:00,7,19,-0.21%,-16.22%,12,58.33%
15,14:30:00,7,22,-0.21%,-16.22%,12,58.33%
16,14:30:00,7,25,-0.21%,-16.22%,12,58.33%
17,14:30:00,7,28,-0.21%,-16.22%,12,58.33%
11,14:30:00,7,10,-0.89%,-16.09%,12,58.33%
12,14:30:00,7,13,-0.89%,-16.09%,12,58.33%
10,14:30:00,7,7,-1.82%,-16.88%,12,50.00%
