,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
62,14:30:00,22,28,15.65%,-7.16%,2,100.00%
53,14:30:00,19,28,14.92%,-7.16%,4,75.00%
63,14:30:00,25,4,14.72%,-4.73%,6,50.00%
54,14:30:00,22,4,14.53%,-4.73%,7,42.86%
71,14:30:00,25,28,13.61%,-7.16%,2,100.00%
80,14:30:00,28,28,12.72%,-7.16%,2,100.00%
57,14:30:00,22,13,12.61%,-6.58%,4,75.00%
60,14:30:00,22,22,12.36%,-6.94%,3,100.00%
72,14:30:00,28,4,12.32%,-4.73%,6,50.00%
55,14:30:00,22,7,12.17%,-4.78%,5,60.00%
61,14:30:00,22,25,12.06%,-7.16%,3,100.00%
46,14:30:00,19,7,11.97%,-4.67%,5,60.00%
0,14:30:00,4,4,11.95%,-5.29%,8,50.00%
28,14:30:00,13,7,11.93%,-2.93%,9,55.56%
59,14:30:00,22,19,11.76%,-6.94%,3,100.00%
27,14:30:00,13,4,11.70%,-2.89%,11,54.55%
51,14:30:00,19,22,11.65%,-6.94%,5,60.00%
18,14:30:00,10,4,11.58%,-3.72%,9,55.56%
73,14:30:00,28,7,11.47%,-4.78%,4,75.00%
52,14:30:00,19,25,11.35%,-7.16%,5,60.00%
45,14:30:00,19,4,11.23%,-4.73%,8,50.00%
66,14:30:00,25,13,10.62%,-6.58%,4,75.00%
69,14:30:00,25,22,10.38%,-6.94%,3,100.00%
48,14:30:00,19,13,10.32%,-6.47%,6,50.00%
9,14:30:00,7,4,10.19%,-4.35%,8,37.50%
64,14:30:00,25,7,10.19%,-4.78%,5,60.00%
50,14:30:00,19,19,10.12%,-6.94%,4,75.00%
70,14:30:00,25,25,10.09%,-7.16%,3,100.00%
68,14:30:00,25,19,9.79%,-6.94%,3,100.00%
75,14:30:00,28,13,9.75%,-6.58%,4,50.00%
58,14:30:00,22,16,9.73%,-8.96%,4,75.00%
4,14:30:00,4,16,9.69%,-6.98%,10,40.00%
22,14:30:00,10,16,9.67%,-6.94%,6,66.67%
2,14:30:00,4,10,9.66%,-7.00%,10,40.00%
3,14:30:00,4,13,9.66%,-7.00%,10,40.00%
6,14:30:00,4,22,9.66%,-7.00%,10,40.00%
7,14:30:00,4,25,9.66%,-7.00%,10,40.00%
8,14:30:00,4,28,9.66%,-7.00%,10,40.00%
24,14:30:00,10,22,9.64%,-6.94%,6,66.67%
25,14:30:00,10,25,9.64%,-6.94%,6,66.67%
26,14:30:00,10,28,9.64%,-6.94%,6,66.67%
10,14:30:00,7,7,9.63%,-4.92%,5,60.00%
78,14:30:00,28,22,9.51%,-6.94%,3,66.67%
37,14:30:00,16,7,9.41%,-5.12%,7,42.86%
79,14:30:00,28,25,9.22%,-7.16%,3,66.67%
32,14:30:00,13,19,9.11%,-6.94%,10,40.00%
5,14:30:00,4,19,9.07%,-6.82%,10,40.00%
23,14:30:00,10,19,9.05%,-7.07%,5,60.00%
1,14:30:00,4,7,8.98%,-7.58%,11,36.36%
19,14:30:00,10,7,8.98%,-5.49%,7,57.14%
77,14:30:00,28,19,8.93%,-7.09%,3,66.67%
33,14:30:00,13,22,8.77%,-7.23%,10,40.00%
34,14:30:00,13,25,8.77%,-7.23%,10,40.00%
35,14:30:00,13,28,8.77%,-7.23%,10,40.00%
42,14:30:00,16,22,8.66%,-7.53%,8,50.00%
43,14:30:00,16,25,8.37%,-7.78%,8,50.00%
44,14:30:00,16,28,8.37%,-7.78%,8,50.00%
39,14:30:00,16,13,8.28%,-7.65%,8,50.00%
67,14:30:00,25,16,7.80%,-8.96%,4,75.00%
49,14:30:00,19,16,7.51%,-8.86%,5,60.00%
41,14:30:00,16,19,7.13%,-8.63%,8,50.00%
76,14:30:00,28,16,6.95%,-8.96%,4,50.00%
31,14:30:00,13,16,6.52%,-9.15%,11,45.45%
36,14:30:00,16,4,6.50%,-7.41%,9,33.33%
30,14:30:00,13,13,6.13%,-9.49%,9,44.44%
21,14:30:00,10,13,5.98%,-9.70%,7,57.14%
56,14:30:00,22,10,5.90%,-10.10%,5,60.00%
47,14:30:00,19,10,5.72%,-9.99%,5,60.00%
29,14:30:00,13,10,5.68%,-8.35%,8,50.00%
74,14:30:00,28,10,5.17%,-10.10%,4,75.00%
11,14:30:00,7,10,4.61%,-9.28%,5,60.00%
40,14:30:00,16,16,4.59%,-10.79%,9,44.44%
12,14:30:00,7,13,4.25%,-9.59%,6,50.00%
65,14:30:00,25,10,4.03%,-10.10%,5,60.00%
13,14:30:00,7,16,4.01%,-9.79%,7,57.14%
14,14:30:00,7,19,4.01%,-9.79%,7,57.14%
20,14:30:00,10,10,3.92%,-9.88%,7,57.14%
38,14:30:00,16,10,3.77%,-10.67%,7,57.14%
15,14:30:00,7,22,3.69%,-10.08%,7,57.14%
16,14:30:00,7,25,3.69%,-10.08%,7,57.14%
17,14:30:00,7,28,3.69%,-10.08%,7,57.14%
