,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
63,14:30:00,25,4,15.54%,-8.1%,4,75.00%
54,14:30:00,22,4,14.20%,-8.1%,5,60.00%
70,14:30:00,25,25,14.11%,-9.1%,1,100.00%
79,14:30:00,28,25,12.95%,-9.1%,5,60.00%
71,14:30:00,25,28,12.80%,-9.1%,1,100.00%
61,14:30:00,22,25,12.78%,-9.1%,2,50.00%
62,14:30:00,22,28,12.78%,-9.1%,2,50.00%
52,14:30:00,19,25,12.77%,-8.9%,4,50.00%
53,14:30:00,19,28,12.77%,-8.9%,4,50.00%
72,14:30:00,28,4,12.40%,-8.1%,7,71.43%
80,14:30:00,28,28,11.66%,-9.1%,5,60.00%
45,14:30:00,19,4,11.22%,-8.1%,5,60.00%
64,14:30:00,25,7,9.79%,-10.6%,3,66.67%
67,14:30:00,25,16,9.55%,-8.8%,2,50.00%
69,14:30:00,25,22,8.77%,-9.5%,2,50.00%
1,14:30:00,4,7,8.58%,-12.5%,9,44.44%
4,14:30:00,4,16,8.58%,-12.5%,9,44.44%
5,14:30:00,4,19,8.58%,-12.5%,9,44.44%
6,14:30:00,4,22,8.58%,-12.5%,9,44.44%
7,14:30:00,4,25,8.58%,-12.5%,9,44.44%
8,14:30:00,4,28,8.58%,-12.5%,9,44.44%
46,14:30:00,19,7,8.52%,-10.6%,4,50.00%
55,14:30:00,22,7,8.52%,-10.6%,4,50.00%
76,14:30:00,28,16,8.44%,-8.8%,6,66.67%
68,14:30:00,25,19,8.30%,-9.6%,2,50.00%
58,14:30:00,22,16,8.28%,-9.6%,3,33.33%
59,14:30:00,22,19,8.28%,-9.6%,3,33.33%
2,14:30:00,4,10,7.78%,-13.2%,8,37.50%
3,14:30:00,4,13,7.78%,-13.2%,8,37.50%
49,14:30:00,19,16,7.78%,-10.0%,3,66.67%
50,14:30:00,19,19,7.78%,-10.0%,3,66.67%
51,14:30:00,19,22,7.72%,-10.0%,4,50.00%
78,14:30:00,28,22,7.61%,-9.5%,7,57.14%
60,14:30:00,22,22,7.51%,-10.2%,3,33.33%
77,14:30:00,28,19,7.20%,-8.9%,6,66.67%
73,14:30:00,28,7,6.80%,-10.6%,6,66.67%
47,14:30:00,19,10,6.69%,-12.1%,4,50.00%
0,14:30:00,4,4,6.68%,-12.5%,9,44.44%
66,14:30:00,25,13,6.65%,-11.3%,3,33.33%
65,14:30:00,25,10,6.08%,-12.1%,3,66.67%
75,14:30:00,28,13,5.57%,-11.3%,7,57.14%
57,14:30:00,22,13,5.41%,-12.0%,4,25.00%
74,14:30:00,28,10,5.00%,-12.1%,6,66.67%
48,14:30:00,19,13,4.93%,-12.4%,4,50.00%
56,14:30:00,22,10,4.85%,-12.5%,4,50.00%
19,14:30:00,10,7,2.61%,-10.6%,7,57.14%
43,14:30:00,16,25,2.05%,-11.0%,9,55.56%
44,14:30:00,16,28,2.05%,-11.0%,9,55.56%
22,14:30:00,10,16,1.92%,-8.9%,6,66.67%
23,14:30:00,10,19,1.92%,-8.9%,6,66.67%
24,14:30:00,10,22,1.92%,-8.9%,6,66.67%
25,14:30:00,10,25,1.92%,-8.9%,6,66.67%
26,14:30:00,10,28,1.92%,-8.9%,6,66.67%
28,14:30:00,13,7,1.58%,-12.5%,7,42.86%
31,14:30:00,13,16,0.89%,-13.1%,6,50.00%
32,14:30:00,13,19,0.89%,-13.1%,6,50.00%
34,14:30:00,13,25,0.89%,-13.1%,6,50.00%
35,14:30:00,13,28,0.89%,-13.1%,6,50.00%
20,14:30:00,10,10,0.88%,-12.1%,7,57.14%
33,14:30:00,13,22,0.83%,-13.1%,7,42.86%
10,14:30:00,7,7,0.55%,-11.3%,8,37.50%
11,14:30:00,7,10,0.55%,-11.3%,8,37.50%
18,14:30:00,10,4,0.35%,-10.3%,8,50.00%
37,14:30:00,16,7,0.19%,-11.1%,10,50.00%
36,14:30:00,16,4,0.18%,-10.1%,12,58.33%
9,14:30:00,7,4,0.17%,-11.7%,9,33.33%
29,14:30:00,13,10,-0.14%,-14.0%,7,42.86%
12,14:30:00,7,13,-0.16%,-12.0%,8,37.50%
13,14:30:00,7,16,-0.16%,-12.0%,8,37.50%
14,14:30:00,7,19,-0.16%,-12.0%,8,37.50%
15,14:30:00,7,22,-0.16%,-12.0%,8,37.50%
16,14:30:00,7,25,-0.43%,-12.2%,9,33.33%
17,14:30:00,7,28,-0.43%,-12.2%,9,33.33%
21,14:30:00,10,13,-0.78%,-11.3%,7,57.14%
38,14:30:00,16,10,-0.86%,-12.1%,9,44.44%
27,14:30:00,13,4,-0.92%,-13.3%,8,37.50%
30,14:30:00,13,13,-1.79%,-15.4%,7,42.86%
40,14:30:00,16,16,-2.02%,-12.4%,10,50.00%
41,14:30:00,16,19,-2.02%,-12.4%,10,50.00%
42,14:30:00,16,22,-2.72%,-13.1%,10,50.00%
39,14:30:00,16,13,-4.14%,-14.3%,9,44.44%
