,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
15,11:30:00,20,5,14.95%,-4.31%,3,66.67%
20,11:30:00,25,5,14.95%,-4.31%,3,66.67%
49,14:30:00,25,25,13.74%,-9.05%,1,100.00%
24,11:30:00,25,25,12.93%,-9.05%,1,100.00%
19,11:30:00,20,25,11.90%,-9.05%,2,100.00%
1,11:30:00,5,10,11.34%,-6.37%,5,60.00%
44,14:30:00,20,25,11.13%,-9.05%,4,100.00%
0,11:30:00,5,5,10.31%,-7.23%,6,50.00%
5,11:30:00,10,5,9.73%,-2.39%,7,85.71%
10,11:30:00,15,5,9.21%,-4.31%,6,83.33%
47,14:30:00,25,15,9.20%,-8.84%,2,50.00%
48,14:30:00,25,20,9.20%,-8.84%,2,50.00%
18,11:30:00,20,20,8.85%,-9.05%,2,100.00%
23,11:30:00,25,20,8.85%,-9.05%,2,100.00%
2,11:30:00,5,15,8.13%,-9.06%,6,50.00%
3,11:30:00,5,20,8.13%,-9.06%,6,50.00%
4,11:30:00,5,25,8.13%,-9.06%,6,50.00%
16,11:30:00,20,10,7.78%,-9.80%,3,66.67%
21,11:30:00,25,10,7.78%,-9.80%,3,66.67%
17,11:30:00,20,15,7.72%,-8.79%,3,66.67%
22,11:30:00,25,15,7.72%,-8.79%,3,66.67%
42,14:30:00,20,15,7.22%,-8.84%,4,75.00%
43,14:30:00,20,20,7.22%,-8.84%,4,75.00%
45,14:30:00,25,5,7.07%,-10.62%,3,33.33%
8,11:30:00,10,20,5.74%,-8.42%,6,66.67%
9,11:30:00,10,25,5.74%,-8.42%,6,66.67%
14,11:30:00,15,25,5.59%,-10.05%,6,83.33%
46,14:30:00,25,10,5.26%,-12.13%,3,33.33%
40,14:30:00,20,5,5.13%,-10.62%,5,60.00%
25,14:30:00,5,5,5.02%,-13.34%,6,33.33%
26,14:30:00,5,10,5.02%,-13.34%,6,33.33%
27,14:30:00,5,15,5.02%,-13.34%,6,33.33%
28,14:30:00,5,20,5.02%,-13.34%,6,33.33%
29,14:30:00,5,25,5.02%,-13.34%,6,33.33%
41,14:30:00,20,10,3.35%,-12.13%,5,60.00%
7,11:30:00,10,15,2.82%,-8.79%,7,57.14%
12,11:30:00,15,15,2.05%,-9.66%,6,66.67%
32,14:30:00,10,15,1.97%,-8.84%,5,60.00%
33,14:30:00,10,20,1.97%,-8.84%,5,60.00%
34,14:30:00,10,25,1.97%,-8.84%,5,60.00%
11,11:30:00,15,10,1.90%,-9.80%,5,60.00%
13,11:30:00,15,20,1.77%,-10.05%,6,66.67%
35,14:30:00,15,5,1.01%,-9.99%,6,50.00%
37,14:30:00,15,15,0.80%,-10.18%,6,50.00%
38,14:30:00,15,20,0.80%,-10.18%,6,50.00%
39,14:30:00,15,25,0.58%,-10.46%,6,50.00%
30,14:30:00,10,5,-0.02%,-10.62%,6,50.00%
6,11:30:00,10,10,-0.08%,-9.80%,7,57.14%
36,14:30:00,15,10,-1.31%,-12.06%,5,40.00%
31,14:30:00,10,10,-1.71%,-12.13%,6,50.00%
