,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600398.SH,20191127,7.67,7.73,7.64,7.66,7.64,0.020000000000000462,0.2618,33482.16,25723.546
1,600398.SH,20191126,7.75,7.77,7.64,7.64,7.75,-0.11000000000000032,-1.4194,112634.2,86509.259
2,600398.SH,20191125,7.76,7.79,7.65,7.75,7.75,0.0,0.0,61035.16,47110.058
3,600398.SH,20191122,7.83,7.88,7.72,7.75,7.87,-0.1200000000000001,-1.5248,49533.34,38579.267
4,600398.SH,20191121,7.79,7.89,7.75,7.87,7.82,0.04999999999999982,0.6394,51603.16,40485.247
5,600398.SH,20191120,7.83,7.84,7.71,7.82,7.82,0.0,0.0,43390.31,33874.061
6,600398.SH,20191119,7.79,7.87,7.75,7.82,7.74,0.08000000000000007,1.0336,47207.57,36896.175
7,600398.SH,20191118,7.77,7.8,7.7,7.74,7.74,0.0,0.0,38909.69,30172.855
8,600398.SH,20191115,7.7,7.87,7.65,7.74,7.71,0.03000000000000025,0.3891,56365.77,43822.359
9,600398.SH,20191114,7.75,7.77,7.69,7.71,7.75,-0.040000000000000036,-0.5161,40925.36,31625.309
10,600398.SH,20191113,7.81,7.81,7.7,7.75,7.76,-0.009999999999999787,-0.1289,47345.62,36628.222
11,600398.SH,20191112,7.7,7.8,7.7,7.76,7.7,0.05999999999999961,0.7792,46436.57,36037.43
12,600398.SH,20191111,7.93,7.93,7.69,7.7,7.92,-0.21999999999999975,-2.7778,77733.63,60449.524
13,600398.SH,20191108,7.85,8.0,7.85,7.92,7.82,0.09999999999999964,1.2788,109833.56,87182.442
14,600398.SH,20191107,7.76,7.88,7.75,7.82,7.76,0.0600000000000005,0.7732,47469.83,37176.106
15,600398.SH,20191106,7.87,7.89,7.75,7.76,7.85,-0.08999999999999986,-1.1465,63385.77,49478.903
16,600398.SH,20191105,7.85,7.95,7.79,7.85,7.89,-0.040000000000000036,-0.507,120022.13,94514.053
