,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002138.SZ,20191127,22.4,23.15,22.24,22.8,22.28,0.5199999999999996,2.3339,180044.26,410601.181
1,002138.SZ,20191126,22.86,23.13,22.1,22.28,22.66,-0.379999999999999,-1.677,170046.35,383726.961
2,002138.SZ,20191125,23.7,23.7,22.03,22.66,23.59,-0.9299999999999997,-3.9423,313831.42,713791.303
3,002138.SZ,20191122,23.08,24.79,23.06,23.59,22.88,0.7100000000000009,3.1031,398787.42,951153.814
4,002138.SZ,20191121,22.67,23.15,22.53,22.88,22.83,0.05000000000000071,0.219,140056.32,320899.007
5,002138.SZ,20191120,23.6,23.72,22.68,22.83,23.62,-0.7900000000000027,-3.3446,244547.61,565187.596
6,002138.SZ,20191119,23.7,23.81,23.26,23.62,23.6,0.019999999999999574,0.0847,172169.69,405238.275
7,002138.SZ,20191118,23.89,23.97,23.04,23.6,23.84,-0.23999999999999844,-1.0067,216748.67,509718.87
8,002138.SZ,20191115,24.08,24.54,23.71,23.84,24.14,-0.3000000000000007,-1.2428,226096.13,546610.644
9,002138.SZ,20191114,23.63,24.33,23.44,24.14,23.73,0.41000000000000014,1.7278,209066.52,500468.682
10,002138.SZ,20191113,23.08,24.13,22.96,23.73,23.22,0.5100000000000016,2.1964,263938.86,626152.574
11,002138.SZ,20191112,23.01,23.91,22.79,23.22,23.16,0.05999999999999872,0.2591,245404.58,571120.873
12,002138.SZ,20191111,23.23,24.2,22.98,23.16,22.94,0.21999999999999886,0.959,392598.59,928156.757
13,002138.SZ,20191108,21.86,23.3,21.86,22.94,21.74,1.2000000000000028,5.5198,321825.48,732868.093
14,002138.SZ,20191107,21.77,22.15,21.62,21.74,21.88,-0.14000000000000057,-0.6399,117914.79,258101.574
15,002138.SZ,20191106,22.14,22.14,21.4,21.88,22.18,-0.3000000000000007,-1.3526,168521.29,365521.312
16,002138.SZ,20191105,21.78,22.23,21.7,22.18,21.77,0.41000000000000014,1.8833,185146.61,405998.551
