,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000333.SZ,20191127,55.43,55.59,54.67,55.13,56.56,-1.4299999999999997,-2.5283,290810.51,1601368.25
1,000333.SZ,20191126,57.3,57.35,56.14,56.56,56.53,0.030000000000001137,0.0531,187705.69,1064900.753
2,000333.SZ,20191125,55.73,56.54,55.02,56.53,55.73,0.8000000000000043,1.4355,180129.2,1007833.444
3,000333.SZ,20191122,56.47,57.2,55.46,55.73,56.2,-0.47000000000000597,-0.8363,206826.8,1163712.896
4,000333.SZ,20191121,57.0,57.25,55.75,56.2,57.15,-0.9499999999999957,-1.6623,198835.07,1116276.034
5,000333.SZ,20191120,58.0,58.01,57.11,57.15,57.83,-0.6799999999999997,-1.1759,139823.7,803578.175
6,000333.SZ,20191119,56.58,57.98,56.4,57.83,56.69,1.1400000000000006,2.0109,252679.43,1454112.718
7,000333.SZ,20191118,56.55,56.98,55.8,56.69,56.55,0.14000000000000057,0.2476,180037.95,1013839.197
8,000333.SZ,20191115,56.72,57.0,56.36,56.55,56.59,-0.04000000000000625,-0.0707,141966.74,804716.992
9,000333.SZ,20191114,56.88,56.98,55.61,56.59,56.55,0.04000000000000625,0.0707,209790.39,1184487.511
10,000333.SZ,20191113,56.88,56.91,56.11,56.55,56.09,0.45999999999999375,0.8201,228964.6,1292170.243
11,000333.SZ,20191112,56.7,57.1,55.75,56.09,57.2,-1.1099999999999994,-1.9406,361575.75,2034644.283
12,000333.SZ,20191111,58.65,58.71,57.0,57.2,59.62,-2.4199999999999946,-4.059,435711.85,2504319.026
13,000333.SZ,20191108,60.78,60.8,59.33,59.62,59.5,0.11999999999999744,0.2017,310046.91,1862039.127
14,000333.SZ,20191107,59.7,59.7,58.79,59.5,59.84,-0.3400000000000034,-0.5682,203387.33,1203867.467
15,000333.SZ,20191106,59.77,60.3,59.27,59.84,59.39,0.45000000000000284,0.7577,264351.43,1579236.926
16,000333.SZ,20191105,59.49,60.08,58.78,59.39,59.14,0.25,0.4227,343451.06,2049225.098
