,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600340.SH,20191127,28.91,28.92,28.23,28.31,28.9,-0.5899999999999999,-2.0415,66789.32,190707.8
1,600340.SH,20191126,28.8,28.97,28.52,28.9,28.74,0.16000000000000014,0.5567,102812.52,296506.509
2,600340.SH,20191125,28.1,29.05,28.05,28.74,28.0,0.7399999999999984,2.6429,127526.29,366688.837
3,600340.SH,20191122,28.34,28.58,27.96,28.0,28.36,-0.35999999999999943,-1.2694,54472.33,153658.312
4,600340.SH,20191121,28.18,28.39,28.1,28.36,28.24,0.120000000000001,0.4249,35519.14,100441.305
5,600340.SH,20191120,28.25,28.84,28.1,28.24,28.25,-0.010000000000001563,-0.0354,76536.37,218228.555
6,600340.SH,20191119,28.02,28.29,27.7,28.25,27.92,0.3299999999999983,1.1819,45409.66,127950.855
7,600340.SH,20191118,27.48,28.18,27.31,27.92,27.45,0.4700000000000024,1.7122,56272.43,156454.074
8,600340.SH,20191115,27.7,27.85,27.45,27.45,27.73,-0.28000000000000114,-1.0097,60474.79,166791.936
9,600340.SH,20191114,28.15,28.17,27.64,27.73,28.0,-0.2699999999999996,-0.9643,66754.83,185963.837
10,600340.SH,20191113,28.33,28.33,27.93,28.0,28.24,-0.23999999999999844,-0.8499,59717.74,167685.889
11,600340.SH,20191112,28.08,28.31,28.08,28.24,28.09,0.14999999999999858,0.534,62759.94,177258.65
12,600340.SH,20191111,28.63,28.63,28.01,28.09,28.77,-0.6799999999999997,-2.3636,112429.95,316836.209
13,600340.SH,20191108,29.08,29.2,28.57,28.77,28.95,-0.17999999999999972,-0.6218,89640.91,258132.164
14,600340.SH,20191107,28.85,29.16,28.8,28.95,28.9,0.05000000000000071,0.173,69218.13,200641.377
15,600340.SH,20191106,29.26,29.28,28.73,28.9,29.2,-0.3000000000000007,-1.0274,102061.07,294706.644
16,600340.SH,20191105,28.9,29.49,28.56,29.2,28.75,0.4499999999999993,1.5652,126165.42,367789.065
