,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002304.SZ,20191127,100.3,100.3,99.64,99.9,100.38,-0.47999999999998977,-0.4782,30247.9,302590.078
1,002304.SZ,20191126,99.2,100.45,99.0,100.38,99.2,1.1799999999999926,1.1895,53573.45,535385.207
2,002304.SZ,20191125,97.51,99.3,97.14,99.2,97.92,1.2800000000000011,1.3072,36128.7,355603.435
3,002304.SZ,20191122,99.99,100.0,97.5,97.92,99.57,-1.6499999999999915,-1.6571,58273.75,572623.496
4,002304.SZ,20191121,99.3,99.73,98.18,99.57,99.23,0.3399999999999892,0.3426,34923.32,346322.35
5,002304.SZ,20191120,97.5,100.83,97.5,99.23,98.0,1.230000000000004,1.2551,77713.08,774261.276
6,002304.SZ,20191119,97.53,98.04,97.0,98.0,97.38,0.6200000000000045,0.6367,38254.66,373897.774
7,002304.SZ,20191118,96.31,97.6,96.3,97.38,96.9,0.47999999999998977,0.4954,30011.73,291640.173
8,002304.SZ,20191115,97.39,97.69,96.58,96.9,97.83,-0.9299999999999926,-0.9506,37626.07,364841.334
9,002304.SZ,20191114,96.9,97.99,96.42,97.83,96.91,0.9200000000000017,0.9493,42898.94,418068.469
10,002304.SZ,20191113,97.5,97.5,96.03,96.91,97.52,-0.6099999999999994,-0.6255,44146.25,426715.962
11,002304.SZ,20191112,97.13,98.3,97.0,97.52,97.12,0.3999999999999915,0.4119,40982.25,399625.999
12,002304.SZ,20191111,99.1,99.14,97.02,97.12,99.58,-2.4599999999999937,-2.4704,73681.65,720807.188
13,002304.SZ,20191108,99.98,100.91,99.52,99.58,99.51,0.06999999999999318,0.0703,55115.4,552121.476
14,002304.SZ,20191107,100.0,100.3,99.24,99.51,100.17,-0.6599999999999966,-0.6589,52474.35,522976.926
15,002304.SZ,20191106,102.55,102.56,100.0,100.17,102.13,-1.9599999999999937,-1.9191,75134.3,756621.236
16,002304.SZ,20191105,102.35,103.2,101.7,102.13,102.48,-0.3500000000000085,-0.3415,87151.38,894321.611
