,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600887.SH,20191127,29.26,29.6,29.1,29.48,29.35,0.129999999999999,0.4429,300204.52,883334.396
1,600887.SH,20191126,29.25,29.6,29.16,29.35,29.14,0.21000000000000085,0.7207,437516.6,1285550.225
2,600887.SH,20191125,29.05,29.17,28.7,29.14,29.01,0.129999999999999,0.4481,328469.52,951069.525
3,600887.SH,20191122,29.15,29.65,28.86,29.01,29.15,-0.13999999999999702,-0.4803,456144.09,1334256.374
4,600887.SH,20191121,29.31,29.39,28.97,29.15,29.41,-0.26000000000000156,-0.8841,289039.39,841770.827
5,600887.SH,20191120,29.76,29.87,29.27,29.41,29.81,-0.3999999999999986,-1.3418,324303.77,958832.03
6,600887.SH,20191119,28.9,29.88,28.89,29.81,29.0,0.8099999999999987,2.7931,584455.42,1731248.485
7,600887.SH,20191118,28.85,29.18,28.66,29.0,28.95,0.05000000000000071,0.1727,315380.68,912390.66
8,600887.SH,20191115,29.16,29.29,28.82,28.95,29.1,-0.15000000000000213,-0.5155,320180.8,929448.843
9,600887.SH,20191114,29.25,29.47,29.0,29.1,29.2,-0.09999999999999787,-0.3425,391619.12,1143059.791
10,600887.SH,20191113,29.2,29.22,28.9,29.2,29.19,0.00999999999999801,0.0343,338375.02,983443.89
11,600887.SH,20191112,29.26,29.26,28.96,29.19,29.0,0.19000000000000128,0.6552,289694.95,843778.4
12,600887.SH,20191111,29.23,29.5,28.92,29.0,29.47,-0.46999999999999886,-1.5948,420156.37,1224405.677
13,600887.SH,20191108,29.9,29.91,29.45,29.47,29.65,-0.17999999999999972,-0.6071,365903.81,1084426.666
14,600887.SH,20191107,29.48,29.81,29.45,29.65,29.47,0.17999999999999972,0.6108,363906.8,1077774.485
15,600887.SH,20191106,29.9,29.94,29.4,29.47,29.87,-0.40000000000000213,-1.3391,467678.2,1384598.096
16,600887.SH,20191105,29.7,30.06,29.48,29.87,29.45,0.4200000000000017,1.4261,784846.84,2343134.533
