datetime,open,close,high,low,volume,money
2021-03-08 09:31:00,0.992,1.001,1.003,0.992,6365300.0,6367817.0
2021-03-08 09:32:00,1.002,1.005,1.005,1.002,7854000.0,7884604.0
2021-03-08 09:33:00,1.005,1.006,1.007,1.005,3295600.0,3315534.0
2021-03-08 09:34:00,1.006,1.008,1.008,1.006,4453600.0,4483260.0
2021-03-08 09:35:00,1.008,1.008,1.008,1.007,847300.0,853653.0
2021-03-08 09:36:00,1.008,1.008,1.01,1.008,3201300.0,3228310.0
2021-03-08 09:37:00,1.009,1.008,1.009,1.007,1592600.0,1604926.0
2021-03-08 09:38:00,1.008,1.006,1.008,1.005,1364000.0,1371641.0
2021-03-08 09:39:00,1.005,1.005,1.006,1.005,687000.0,690545.0
2021-03-08 09:40:00,1.005,1.005,1.006,1.004,1877500.0,1886842.0
2021-03-08 09:41:00,1.005,1.002,1.005,1.002,2252600.0,2264867.0
2021-03-08 09:42:00,1.002,1.004,1.004,1.002,467000.0,468816.0
2021-03-08 09:43:00,1.004,1.004,1.005,1.002,8800.0,8830.0
2021-03-08 09:44:00,1.004,1.001,1.004,1.001,165900.0,166221.0
2021-03-08 09:45:00,1.001,1.0,1.001,1.0,310000.0,310096.0
2021-03-08 09:46:00,1.0,0.999,1.001,0.999,165500.0,165508.0
2021-03-08 09:47:00,0.999,1.0,1.0,0.999,39300.0,39263.0
2021-03-08 09:48:00,1.0,0.999,1.0,0.998,274700.0,274385.0
2021-03-08 09:49:00,0.999,0.999,1.0,0.999,201600.0,201400.0
2021-03-08 09:50:00,1.0,1.001,1.001,1.0,165400.0,165539.0
2021-03-08 09:51:00,1.001,1.002,1.002,1.001,159500.0,159810.0
2021-03-08 09:52:00,1.003,1.002,1.003,1.002,13400.0,13429.0
2021-03-08 09:53:00,1.002,1.0,1.002,1.0,82100.0,82129.0
2021-03-08 09:54:00,1.0,1.0,1.001,1.0,63400.0,63405.0
2021-03-08 09:55:00,1.0,1.0,1.0,0.999,80800.0,80836.0
2021-03-08 09:56:00,1.0,1.0,1.0,0.999,177600.0,177550.0
2021-03-08 09:57:00,1.0,1.001,1.001,1.0,203000.0,203201.0
2021-03-08 09:58:00,1.001,1.0,1.001,1.0,46200.0,46220.0
2021-03-08 09:59:00,1.0,0.998,1.0,0.998,76300.0,76349.0
2021-03-08 10:00:00,0.998,0.998,0.999,0.998,184100.0,183741.0
2021-03-08 10:01:00,0.998,0.997,0.998,0.997,10100.0,10078.0
2021-03-08 10:02:00,0.997,0.997,0.997,0.997,50600.0,50448.0
2021-03-08 10:03:00,0.997,0.998,0.998,0.996,56400.0,56189.0
2021-03-08 10:04:00,0.998,0.997,0.998,0.997,11200.0,11167.0
2021-03-08 10:05:00,0.997,0.996,0.997,0.996,78400.0,78119.0
2021-03-08 10:06:00,0.996,0.996,0.997,0.996,21400.0,21316.0
2021-03-08 10:07:00,0.997,0.996,0.997,0.996,13700.0,13654.0
2021-03-08 10:08:00,0.996,0.996,0.997,0.996,31400.0,31303.0
2021-03-08 10:09:00,0.996,0.997,0.997,0.996,93900.0,93619.0
2021-03-08 10:10:00,0.997,0.998,0.998,0.996,2100.0,2093.0
2021-03-08 10:11:00,0.998,0.999,0.999,0.998,176300.0,175965.0
2021-03-08 10:12:00,0.999,0.999,0.999,0.999,15300.0,15284.0
2021-03-08 10:13:00,0.999,0.999,0.999,0.999,25200.0,25170.0
2021-03-08 10:14:00,0.999,0.998,0.999,0.998,190000.0,189722.0
2021-03-08 10:15:00,0.998,0.998,0.998,0.997,40000.0,39885.0
2021-03-08 10:16:00,0.998,0.997,0.998,0.997,25600.0,25526.0
2021-03-08 10:17:00,0.997,0.996,0.997,0.996,162500.0,161857.0
2021-03-08 10:18:00,0.996,0.996,0.996,0.996,152900.0,152399.0
2021-03-08 10:19:00,0.996,0.996,0.996,0.995,12200.0,12139.0
2021-03-08 10:20:00,0.996,0.995,0.996,0.995,37800.0,37611.0
2021-03-08 10:21:00,0.995,0.996,0.996,0.995,2600.0,2587.0
2021-03-08 10:22:00,0.996,0.996,0.996,0.995,25000.0,24885.0
2021-03-08 10:23:00,0.996,0.995,0.996,0.995,29200.0,29060.0
2021-03-08 10:24:00,0.995,0.995,0.995,0.995,5100.0,5074.0
2021-03-08 10:25:00,0.995,0.995,0.995,0.994,41500.0,41257.0
2021-03-08 10:26:00,0.995,0.993,0.995,0.993,203800.0,202515.0
2021-03-08 10:27:00,0.993,0.993,0.994,0.993,21200.0,21052.0
2021-03-08 10:28:00,0.993,0.992,0.993,0.992,110900.0,110142.0
2021-03-08 10:29:00,0.992,0.992,0.993,0.992,92900.0,92172.0
2021-03-08 10:30:00,0.992,0.993,0.993,0.992,1000.0,993.0
2021-03-08 10:31:00,0.993,0.99,0.993,0.99,662700.0,656864.0
