,代 码,转债名称,现 价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,纯债价值,评级,期权价值,回售触发价,强赎触发价,转债占比,机构持仓,到期时间,剩余年限,到期税前收益,到期税后收益,回售收益,成交额(万元),操作
49,113548,石英转债,122.010,3.01%,石英股份 R,17.05,5.70%,4.02,15.250,111.80,9.13%,购买,AA-,购买,10.68,19.82,6.3%,会员,25-10-27,5.879,0.39%,-0.31%,购买,585.78,
50,123026,中环转债,106.679,0.26%,中环环保,12.03,0.25%,2.29,12.310,97.73,9.16%,购买,AA-,购买,8.62,16.00,15.1%,会员,24-06-10,4.499,0.93%,0.46%,购买,83.34,
51,128055,长青转2,114.800,0.26%,长青股份,7.79,0.52%,1.26,7.410,105.13,9.20%,购买,AA,购买,5.19,9.63,21.7%,会员,25-02-27,5.216,0.12%,-0.41%,购买,612.66,
52,113540,南威转债,120.110,-0.56%,南威软件 R,11.14,1.46%,3.03,10.130,109.97,9.22%,购买,AA-,购买,7.09,13.17,11.2%,会员,25-07-14,5.592,-0.32%,-0.88%,购买,1445.43,
53,128057,博彦转债,114.266,0.53%,博彦科技,9.21,1.21%,1.78,8.810,104.54,9.30%,购买,AA-,购买,6.17,11.45,11.8%,会员,25-03-05,5.233,0.56%,-0.03%,购买,329.51,
54,113019,玲珑转债,129.030,0.26%,玲珑轮胎 R,21.72,2.16%,2.46,18.550,117.09,10.20%,购买,AA+,购买,12.98,24.11,7.7%,会员,23-03-01,3.219,-4.09%,-4.78%,购买,92.51,
55,123018,溢利转债,115.080,-0.82%,溢多利,8.72,-0.46%,1.63,8.350,104.43,10.20%,购买,AA-,购买,5.84,10.86,10.2%,会员,24-12-20,5.027,0.04%,-0.50%,购买,112.55,
56,113549,白电转债,102.880,-0.98%,白云电器,8.37,-0.59%,1.62,8.990,93.10,10.50%,购买,AA,购买,632.00,11.69,23.3%,会员,25-11-14,5.929,1.94%,1.48%,购买,5707.70,
57,123017,寒锐转债,126.060,0.37%,寒锐钴业 R,65.29,0.05%,10.14,57.490,113.57,11.00%,购买,AA-,购买,40.24,74.74,2.5%,会员,24-11-20,4.945,-2.62%,-3.00%,购买,256.68,
58,128034,江银转债,107.600,0.02%,江阴银行,4.51,0.45%,0.86,4.680**,96.37,11.65%,购买,AA+,购买,-,6.08,17.9%,会员,24-01-26,4.126,0.46%,0.02%,购买,401.22,
59,113530,大丰转债,110.500,-0.01%,大丰实业,16.57,-0.78%,3.38,16.760,98.87,11.76%,购买,AA,购买,11.73,21.79,9.5%,会员,25-03-26,5.290,1.93%,1.21%,购买,366.13,
60,128059,视源转债,126.203,0.16%,视源股份,85.48,0.15%,11.98,75.720,112.89,11.79%,购买,AA,购买,53.00,98.44,1.7%,会员,25-03-11,5.249,-1.91%,-2.38%,购买,143.35,
61,113011,光大转债,121.420,0.26%,光大银行 R,4.31,-0.23%,0.60,3.970,108.56,11.85%,购买,AAA,购买,-,5.16,13.3%,会员,23-03-17,3.263,-3.24%,-3.74%,购买,9055.53,
62,113028,环境转债,119.300,0.29%,上海环境,11.13,1.09%,1.53,10.440,106.61,11.90%,购买,AAA,购买,7.31,13.57,21.3%,会员,25-06-17,5.518,-1.32%,-1.68%,购买,189.09,
63,113020,桐昆转债,120.850,0.83%,桐昆股份 R,13.48,1.89%,1.34,12.510,107.75,12.16%,购买,AA+,购买,8.76,16.26,13.9%,会员,24-11-19,4.942,-1.41%,-1.87%,购买,2212.70,
64,123030,九洲转债,104.979,-0.08%,九洲电气,5.33,-0.37%,0.90,5.700,93.51,12.26%,购买,AA-,购买,3.99,7.41,16.8%,会员,25-08-19,5.690,2.50%,1.86%,购买,80.62,
65,110056,亨通转债,113.630,停牌,亨通光电 R,15.86,停牌,2.25,15.680*,101.15,12.34%,购买,AA+,购买,10.98,20.38,5.7%,会员,25-03-19,5.271,0.25%,-0.26%,购买,0.00,
66,113546,迪贝转债,100.220,-0.05%,迪贝电气,16.38,0.49%,2.56,18.450,88.78,12.89%,购买, A+,购买,12.91,23.98,14.0%,会员,25-10-22,5.866,3.35%,2.70%,购买,408.46,
67,113551,福特转债,121.600,0.86%,福斯特 R,44.20,0.68%,3.88,41.040,107.70,12.91%,购买,AA,购买,28.73,53.35,4.8%,会员,25-11-17,5.937,-0.91%,-1.36%,购买,5221.34,
68,128074,游族转债,124.338,1.71%,游族网络 R,18.77,4.22%,3.05,17.060,110.02,13.01%,购买,AA,购买,11.94,22.18,6.9%,会员,25-09-23,5.786,-0.58%,-1.17%,购买,1601.76,
69,132021,19中电EB,121.000,0.49%,中国软件 R,79.00,-1.15%,20.29,74.250,106.40,13.74%,购买,AAA,购买,51.98,96.53,5.4%,会员,22-11-28,2.964,-4.09%,-4.51%,购买,2964.34,
70,123015,蓝盾转债,112.272,0.48%,蓝盾股份 R,5.70,1.42%,1.44,5.790*,98.45,14.04%,购买,AA,购买,4.05,7.53,1.4%,会员,24-08-13,4.674,0.12%,-0.38%,购买,227.32,
71,113531,百姓转债,122.400,-0.49%,老百姓 R,64.30,-0.25%,5.48,60.090,107.01,14.38%,购买,AA,购买,42.06,78.12,1.8%,会员,24-03-28,4.296,-1.94%,-2.46%,购买,2.21,
72,110052,贵广转债,115.250,0.63%,贵广网络 R,8.10,1.00%,1.82,8.040,100.75,14.39%,购买,AA+,购买,5.63,10.45,17.9%,会员,25-03-05,5.233,0.63%,-0.01%,购买,1328.93,
73,113515,高能转债,114.310,0.49%,高能环境 R,9.31,0.87%,2.04,9.330,99.79,14.55%,购买,AA,购买,6.53,12.13,11.3%,会员,24-07-26,4.625,-0.27%,-0.78%,购买,364.76,
74,110060,天路转债,109.880,-0.23%,西藏天路 R,6.94,0.43%,1.76,7.240,95.86,14.63%,购买,AA,购买,5.07,9.41,18.1%,会员,25-10-27,5.879,0.84%,0.37%,购买,1482.61,
75,128054,中宠转债,113.901,-0.78%,中宠股份,22.05,-0.32%,4.50,22.280,98.97,15.09%,购买,A+,购买,15.60,28.96,5.2%,会员,25-02-15,5.184,0.29%,-0.25%,购买,147.09,
76,127013,创维转债,113.101,0.36%,创维数字 R,11.28,0.00%,3.35,11.490,98.17,15.21%,购买,AA,购买,8.04,14.94,8.7%,会员,25-04-15,5.345,0.86%,0.26%,购买,375.83,
77,110048,福能转债,119.400,0.18%,福能股份 R,8.78,-0.79%,1.10,8.480,103.54,15.32%,购买,AA+,购买,5.94,11.02,20.8%,会员,24-12-06,4.989,-0.96%,-1.45%,购买,399.00,
78,128051,光华转债,105.329,-0.03%,光华科技,11.61,1.13%,3.42,12.720*,91.27,15.40%,购买,AA-,购买,8.90,16.54,5.7%,会员,24-12-14,5.011,1.99%,1.41%,购买,61.74,
79,110054,通威转债,123.510,-0.40%,通威股份 R,13.07,-0.31%,2.95,12.280,106.43,16.05%,购买,AA+,购买,8.60,15.96,9.8%,会员,25-03-18,5.268,-1.28%,-1.79%,购买,155.75,
80,113522,旭升转债,119.280,-0.07%,旭升股份,30.41,-0.10%,8.23,29.600,102.74,16.10%,购买,AA,购买,20.72,38.48,3.4%,会员,24-11-22,4.951,0.11%,-0.58%,购买,371.12,
81,123014,凯发转债,108.228,0.01%,凯发电气,7.56,0.13%,1.78,8.140,92.87,16.54%,购买,A+,购买,5.70,10.58,5.1%,会员,23-07-27,3.625,0.23%,-0.24%,购买,12.43,
82,132005,15国资EB,116.000,0.43%,中国太保 R,35.48,0.48%,1.89,35.660,99.50,16.61%,购买,AAA,购买,-,-,0.6%,会员,20-12-08,0.992,-5.93%,-7.53%,购买,481.21,
83,128053,尚荣转债,103.364,0.11%,尚荣医疗,4.33,-0.69%,1.30,4.890,88.55,16.73%,购买,AA,购买,3.42,6.36,24.5%,会员,25-02-14,5.181,2.18%,1.63%,购买,349.38,
84,110033,国贸转债,111.720,-0.09%,厦门国贸 R,7.10,-0.42%,0.54,7.420*,95.69,16.75%,购买,AAA,购买,5.19,9.65,9.2%,会员,22-01-05,2.068,-0.27%,-1.26%,购买,16.55,
85,113537,文灿转债,106.890,-0.43%,文灿股份,18.23,-1.67%,1.80,19.930,91.47,16.86%,购买,AA-,购买,13.95,25.91,19.9%,会员,25-06-09,5.496,2.50%,1.79%,购买,619.20,
86,128071,合兴转债,107.316,0.01%,合兴包装,4.02,-0.74%,1.59,4.380,91.78,16.93%,购买,AA,购买,3.07,5.69,12.7%,会员,25-08-15,5.679,1.26%,0.78%,购买,115.68,
87,128073,哈尔转债,105.740,0.06%,哈尔斯,5.24,-0.19%,2.32,5.800,90.34,17.05%,购买,AA-,购买,4.06,7.54,14.0%,会员,24-08-22,4.699,1.96%,1.35%,购买,391.07,
88,113025,明泰转债,111.280,0.03%,明泰铝业,10.71,-0.37%,0.94,11.300,94.78,17.41%,购买,AA,购买,7.91,14.69,27.9%,会员,25-04-09,5.329,0.72%,0.19%,购买,278.21,
89,110047,山鹰转债,115.100,0.16%,山鹰纸业 R,3.27,-0.30%,1.06,3.340,97.90,17.57%,购买,AA+,购买,2.34,4.34,15.3%,会员,24-11-21,4.948,0.53%,-0.11%,购买,1159.50,
90,113509,新泉转债,118.000,0.10%,新泉股份,18.92,-0.89%,2.68,18.890*,100.16,17.81%,购买,AA,购买,13.22,24.56,10.4%,会员,24-06-03,4.479,-1.42%,-1.86%,购买,168.37,
91,110061,川投转债,115.830,-0.24%,川投能源 R,9.75,-0.71%,1.64,9.920,98.29,17.85%,购买,AAA,购买,6.94,12.90,9.3%,会员,25-11-10,5.918,-0.73%,-1.07%,购买,2710.70,
92,123009,星源转债,111.611,0.46%,星源材质,25.22,-0.90%,2.30,26.640,94.67,17.89%,购买,AA,购买,18.65,34.63,8.3%,会员,24-03-07,4.238,-0.28%,-0.73%,购买,1165.16,
93,113541,荣晟转债,102.030,-0.36%,荣晟环保,16.19,-1.22%,2.01,18.720,86.49,17.97%,购买,AA-,购买,13.10,24.34,11.5%,会员,25-07-22,5.614,2.28%,1.77%,购买,99.00,
94,128049,华源转债,100.255,-0.15%,华源控股,6.39,0.31%,1.32,7.520,84.97,17.99%,购买,AA-,购买,5.26,9.78,20.1%,会员,24-11-27,4.964,2.90%,2.32%,购买,67.60,
95,120003,19华菱EBQ,110.860,0.01%,华菱钢铁 R,4.63,0.00%,0.94,4.930,93.91,18.05%,购买,AAA,购买,3.45,6.41,10.2%,会员,24-11-25,4.959,0.57%,0.06%,购买,725.30,
96,110053,苏银转债,111.930,0.26%,江苏银行 R,7.15,0.28%,0.63,7.560,94.58,18.34%,购买,AAA,购买,-,9.83,24.2%,会员,25-03-13,5.255,1.25%,0.60%,购买,3431.12,
97,128029,太阳转债,125.800,1.33%,太阳纸业 R,9.18,0.66%,1.71,8.650,106.13,18.53%,购买,AA+,购买,6.05,11.24,5.0%,会员,22-12-22,3.030,-4.88%,-5.36%,购买,4.36,
98,128075,远东转债,106.915,-0.62%,远东传动,5.22,-0.38%,1.04,5.790,90.16,18.58%,购买,AA,购买,4.05,7.53,30.5%,会员,25-09-23,5.786,1.32%,0.84%,购买,471.70,
99,113504,艾华转债,112.870,0.42%,艾华集团 R,20.38,1.34%,3.68,21.430*,95.10,18.69%,购买,AA,购买,15.00,27.86,8.7%,会员,24-03-01,4.222,-0.45%,-0.92%,购买,148.95,
100,113547,索发转债,109.850,0.32%,索通发展,9.84,0.00%,1.33,10.670,92.22,19.12%,购买,AA,购买,7.47,13.87,28.5%,会员,25-10-23,5.868,1.42%,0.84%,购买,1273.01,
101,123028,清水转债,102.100,-0.10%,清水源,10.24,0.20%,1.39,11.950,85.69,19.15%,购买,AA-,购买,8.37,15.54,21.9%,会员,25-06-18,5.521,3.43%,2.70%,购买,214.99,
102,128063,未来转债,105.392,0.09%,德尔未来 R,7.65,-2.05%,2.80,8.670,88.24,19.44%,购买,AA-,购买,6.07,11.27,12.3%,会员,25-04-03,5.312,3.95%,3.02%,购买,242.43,
103,128016,雨虹转债,125.000,0.00%,东方雨虹 R,23.36,-0.13%,3.77,22.400,104.29,19.86%,购买,AA+,购买,15.68,29.12,5.3%,会员,23-09-25,3.789,-3.42%,-3.87%,购买,361.97,
104,128048,张行转债,110.350,-0.39%,张家港行 R,5.44,0.18%,0.95,5.910,92.05,19.88%,购买,AA+,购买,-,7.68,25.4%,会员,24-11-12,4.923,0.66%,0.14%,购买,182.77,
105,128040,华通转债,105.661,-0.60%,华通医药,10.02,-0.99%,3.15,11.370,88.13,19.89%,购买,AA-,购买,7.96,14.78,10.6%,会员,24-06-13,4.507,1.51%,0.98%,购买,103.21,
106,113517,曙光转债,116.510,0.12%,中科曙光 R,35.48,1.78%,8.01,36.530,97.13,19.95%,购买,AA,购买,25.57,47.49,3.5%,会员,24-08-06,4.655,-0.69%,-1.18%,购买,240.04,
107,127012,招路转债,109.000,-0.29%,招商公路,8.24,-0.36%,1.05,9.090,90.65,20.24%,购买,AAA,购买,6.36,11.82,9.8%,会员,25-03-21,5.277,-0.12%,-0.42%,购买,732.65,
108,113545,金能转债,106.490,-0.36%,金能科技 R,10.22,-0.58%,1.27,11.550,88.48,20.35%,购买,AA,购买,8.09,15.02,21.7%,会员,25-10-13,5.841,1.40%,0.92%,购买,830.67,
109,127003,海印转债,103.690,-0.06%,海印股份 R,2.59,0.78%,1.57,3.010**,86.05,20.50%,购买,AA,购买,2.11,3.91,16.3%,会员,22-06-08,2.490,3.69%,2.68%,购买,95.02,
110,132020,19蓝星EBQ,108.500,0.18%,安迪苏 R,10.42,0.19%,2.02,11.560,90.14,20.54%,购买,AAA,购买,8.09,15.03,16.1%,会员,24-10-18,4.855,1.01%,0.49%,购买,2281.45,
111,110041,蒙电转债,114.700,-0.34%,内蒙华电 R,2.68,-1.11%,1.12,2.820,95.04,20.69%,购买,AAA,购买,1.97,3.67,12.0%,会员,23-12-21,4.027,-0.85%,-1.34%,购买,200.74,
112,113503,泰晶转债,112.480,0.92%,泰晶科技,16.68,1.34%,3.79,17.900,93.18,20.71%,购买,AA,购买,12.53,23.27,2.3%,会员,23-12-15,4.011,0.10%,-0.49%,购买,1005.49,
113,113534,鼎胜转债,99.170,0.08%,鼎胜新材,12.55,-0.71%,1.44,15.280*,82.13,20.75%,购买,AA,购买,10.70,19.86,23.2%,会员,25-04-08,5.326,2.93%,2.39%,购买,1138.47,
114,127014,北方转债,112.141,-0.30%,北方国际,8.21,-0.85%,1.37,8.840,92.87,20.75%,购买,AA+,购买,6.19,11.49,9.1%,会员,25-10-23,5.868,0.53%,0.05%,购买,107.21,
115,113027,华钰转债,102.000,-0.01%,华钰矿业 R,8.59,-0.69%,2.11,10.170,84.46,20.77%,购买,AA,购买,7.12,13.22,14.2%,会员,25-06-13,5.507,2.28%,1.77%,购买,306.63,
116,127007,湖广转债,107.261,-0.04%,湖北广电 R,4.98,0.00%,0.70,5.610*,88.77,20.83%,购买,AA+,购买,3.93,7.29,27.5%,会员,24-06-28,4.548,1.20%,0.66%,购买,4.91,
117,113524,奇精转债,101.730,-0.20%,奇精机械,12.24,-1.29%,2.24,14.560,84.07,21.01%,购买,AA,购买,10.19,18.93,13.9%,会员,24-12-14,5.011,3.13%,2.46%,购买,79.86,
118,113008,电气转债,110.830,-0.54%,上海电气 R,4.69,-0.64%,1.15,5.130*,91.42,21.23%,购买,AAA,购买,3.59,6.67,6.3%,会员,21-02-02,1.145,-2.18%,-3.47%,购买,216.56,
119,128044,岭南转债,99.230,-0.12%,岭南股份,4.84,0.83%,1.57,5.920*,81.76,21.37%,购买,AA,购买,4.14,7.70,8.9%,会员,24-08-14,4.677,2.63%,2.15%,购买,148.42,
120,128070,智能转债,102.331,-0.07%,智能自控,8.05,-0.25%,3.66,9.550,84.29,21.40%,购买,A+,购买,-,12.41,8.6%,会员,25-07-02,5.559,2.67%,2.08%,购买,76.26,
121,110042,航电转债,115.300,-0.29%,中航电子 R,13.44,-0.52%,3.05,14.180,94.78,21.65%,购买,AAA,购买,9.93,18.43,10.1%,会员,23-12-24,4.036,-1.23%,-1.67%,购买,71.97,
122,128056,今飞转债,97.857,-0.05%,今飞凯达,5.44,0.18%,1.87,6.780,80.24,21.96%,购买,A+,购买,4.75,8.81,18.0%,会员,25-02-28,5.219,4.37%,3.61%,购买,120.72,
123,113516,苏农转债,107.590,0.06%,苏农银行 R,5.00,-0.40%,0.79,5.670,88.18,22.01%,购买,AA+,购买,-,7.37,14.3%,会员,24-08-01,4.641,1.50%,0.90%,购买,429.89,
124,128058,拓邦转债,115.895,0.17%,拓邦股份,5.25,0.19%,2.18,5.540,94.77,22.29%,购买,AA,购买,3.88,7.20,10.7%,会员,25-03-07,5.238,1.17%,0.42%,购买,7.07,
125,123025,精测转债,115.555,0.91%,精测电子 R,47.45,3.83%,8.36,50.250,94.43,22.37%,购买,AA-,购买,35.17,65.33,3.2%,会员,25-03-28,5.296,0.37%,-0.22%,购买,337.63,
126,123035,利德转债,114.565,0.31%,利亚德 R,6.58,1.23%,2.01,7.040,93.47,22.57%,购买,AA+,购买,4.93,9.15,4.8%,会员,25-11-13,5.926,0.15%,-0.32%,购买,1392.18,
127,123029,英科转债,114.781,-0.02%,英科医疗,15.21,-0.33%,2.13,16.250,93.60,22.63%,购买,AA-,购买,11.38,21.12,15.6%,会员,25-08-15,5.679,3.50%,2.41%,购买,317.56,
128,113543,欧派转债,120.320,0.16%,欧派家居 R,99.29,0.80%,4.62,101.460,97.86,22.95%,购买,AA,购买,71.02,131.90,3.6%,会员,25-08-15,5.679,-0.76%,-1.24%,购买,52.72,
129,113542,好客转债,107.690,0.04%,好莱客,14.55,-0.95%,1.78,16.620,87.55,23.00%,购买,AA,购买,11.63,21.61,14.0%,会员,25-07-31,5.638,1.24%,0.75%,购买,194.11,
