,代 码,转债名称,现 价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,纯债价值,评级,期权价值,回售触发价,强赎触发价,转债占比,机构持仓,到期时间,剩余年限,到期税前收益,到期税后收益,回售收益,成交额(万元),操作
181,128035,大族转债,111.500,1.32%,大族激光 R,37.80,0.27%,4.62,52.300,72.28,54.26%,购买,AA+,购买,36.61,67.99,5.7%,会员,24-02-06,4.156,-0.69%,-1.06%,购买,296.30,
182,113022,浙商转债,105.930,0.05%,浙商证券 R,8.55,-0.58%,1.94,12.460,68.62,54.37%,购买,AAA,购买,-,16.20,12.3%,会员,25-03-12,5.252,0.73%,0.38%,购买,967.98,
183,113012,骆驼转债,101.700,0.21%,骆驼股份 R,8.70,0.00%,1.19,13.290*,65.46,55.36%,购买,AA,购买,9.30,17.28,6.8%,会员,23-03-24,3.282,2.12%,1.60%,购买,19.51,
184,110045,海澜转债,99.500,-0.32%,海澜之家 R,7.64,-0.13%,2.56,12.020,63.56,56.54%,购买,AA+,购买,8.41,15.63,8.7%,会员,24-07-13,4.589,2.57%,2.09%,购买,95.88,
185,127011,中鼎转2,108.390,0.00%,中鼎股份 R,8.13,-0.37%,1.13,11.790,68.96,57.18%,购买,AA+,购买,8.25,15.33,12.1%,会员,25-03-08,5.241,1.28%,0.74%,购买,34.95,
186,132015,18中油EB,98.800,0.11%,中国石油 R,5.64,-0.18%,0.84,8.980,62.81,59.22%,购买,AAA,购买,6.29,11.67,1.9%,会员,23-02-01,3.142,3.34%,2.68%,购买,4681.29,
187,128026,众兴转债,93.148,0.02%,众兴菌业,6.73,-0.88%,0.95,11.540,58.32,59.72%,购买,AA-,购买,8.08,15.00,37.2%,会员,23-12-13,4.005,4.57%,4.02%,购买,233.09,
188,132013,17宝武EBQ,100.960,0.01%,宝钢股份 R,5.60,-1.06%,0.71,9.050,61.88,63.24%,购买,AAA,购买,-,-,12.0%,会员,20-11-24,0.953,3.10%,2.27%,购买,1026.95,
189,128028,赣锋转债,108.510,0.48%,赣锋锂业 R,28.10,1.55%,4.47,42.280,66.46,63.27%,购买,AA,购买,29.60,54.96,2.6%,会员,23-12-21,4.027,0.30%,-0.16%,购买,740.48,
190,132004,15国盛EB,99.400,0.00%,上海建工 R,3.48,-0.29%,0.96,5.800*,60.00,65.84%,购买,AAA,购买,4.06,7.54,16.1%,会员,21-11-05,1.901,2.88%,2.36%,购买,952.91,
191,128014,永东转债,99.225,0.04%,永东股份,7.53,0.13%,1.94,12.640,59.57,66.57%,购买,AA-,购买,8.85,16.43,11.9%,会员,23-04-17,3.348,3.85%,3.14%,购买,61.30,
192,128032,双环转债,97.170,0.50%,双环传动,5.34,-0.56%,1.00,9.930,53.78,80.68%,购买,AA,购买,6.95,12.91,27.3%,会员,23-12-25,4.038,3.38%,2.85%,购买,307.17,
193,127004,模塑转债,95.512,0.00%,模塑科技 R,4.01,-0.99%,1.41,7.590,52.83,80.79%,购买,AA,购买,5.31,9.87,24.5%,会员,23-06-02,3.474,5.42%,4.62%,购买,182.20,
194,110038,济川转债,105.930,-0.04%,济川药业 R,22.10,0.45%,3.10,38.810,56.94,86.04%,购买,AA,购买,19.41,48.51,3.5%,会员,22-11-12,2.921,0.77%,0.23%,购买,9.22,
195,113014,林洋转债,99.190,0.14%,林洋能源 R,4.51,-0.44%,0.77,8.590,52.50,88.93%,购买,AA,购买,6.01,11.17,37.8%,会员,23-10-27,3.877,2.83%,2.31%,购买,48.28,
196,113502,嘉澳转债,97.150,0.03%,嘉澳环保,22.66,0.89%,2.14,45.040,50.31,93.10%,购买,AA-,购买,31.53,58.55,11.1%,会员,23-11-09,3.912,3.85%,3.24%,购买,16.51,
197,128023,亚太转债,93.690,0.08%,亚太股份,4.91,-1.21%,1.33,10.340,47.49,97.28%,购买,AA,购买,7.24,13.44,27.6%,会员,23-12-04,3.981,4.75%,4.14%,购买,85.00,
198,132008,17山高EB,101.400,0.04%,山东高速 R,4.88,1.04%,0.83,9.400,51.91,97.43%,购买,AAA,购买,6.58,12.22,10.6%,会员,22-04-24,2.367,3.54%,2.63%,购买,406.46,
199,132007,16凤凰EBQ,100.050,0.00%,凤凰传媒 R,7.29,-0.82%,1.35,14.800,49.26,103.35%,购买,AAA,购买,11.84,19.24,27.0%,会员,21-10-31,1.888,3.58%,2.85%,购买,800.40,
200,128037,岩土转债,95.051,-0.09%,中化岩土,3.71,1.09%,1.67,8.010,46.32,105.21%,购买,AA,购买,5.61,10.41,9.0%,会员,24-03-15,4.260,4.19%,3.60%,购买,254.01,
201,128062,亚药转债,89.960,-0.10%,亚太药业 R,6.81,0.44%,1.35,16.250,41.91,114.65%,购买,AA,购买,11.38,21.12,26.4%,会员,25-04-02,5.310,5.71%,5.00%,购买,485.04,
202,110031,航信转债,114.100,0.02%,航天信息 R,21.80,0.46%,3.51,41.940,51.98,119.51%,购买,AAA,购买,29.36,54.52,5.9%,会员,21-06-12,1.501,-3.33%,-4.34%,购买,28.19,
203,128013,洪涛转债,96.949,-0.19%,洪涛股份 R,3.06,-0.33%,1.16,8.000*,38.25,153.46%,购买,AA,购买,5.60,10.40,31.4%,会员,22-07-29,2.630,5.49%,4.64%,购买,787.14,
204,128010,顺昌转债,104.521,0.02%,澳洋顺昌,3.80,-1.04%,1.79,9.260,41.04,154.68%,购买,AA,购买,6.48,12.04,13.7%,会员,22-01-22,2.115,3.04%,2.02%,购买,50.82,
205,128012,辉丰转债,98.999,-0.24%,辉丰股份,2.85,-1.38%,1.45,7.710,36.96,167.85%,购买,A+,购买,5.40,10.02,19.7%,会员,22-04-21,2.359,2.82%,2.34%,购买,301.75,
206,132011,17浙报EBQ,96.120,0.13%,浙数文化 R,8.46,-0.12%,1.39,24.180,34.99,175.63%,购买,AAA,购买,16.93,31.43,21.8%,会员,22-08-17,2.682,3.63%,3.17%,购买,121.40,
